
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  축                                보유      건수       초과       중앙       절삭    승률       학습       검증      월CI    양수해
  F 부채 ≤100 + PBR ≤0.8            120   3,667    +0.39    -5.52    -6.08   45%    +3.31    -2.62    -1.14   5/9
  F 부채 ≤100 + PBR ≤0.8            250   2,047    +0.11   -10.26   -10.12   47%    +4.62    -6.22    -2.35   4/8
  L 고점대비 -60%↓                    120   3,563   +12.15   -11.23   -11.68   50%   +19.65    -2.79    -2.43   5/11
  L 고점대비 -60%↓                    250   2,491   +17.76   -17.79   -15.55   50%   +25.53    -1.11    -3.41   5/10
  L 고점대비 -60~-40%                 120  11,546    -0.28   -11.12   -12.66   42%    +1.57    -3.98    -5.34   3/11
  L 고점대비 -60~-40%                 250   6,999    -0.89   -18.72   -18.82   41%    +0.36    -3.98    -7.89   2/10
  L 고점대비 -40~-25%                 120  16,389    -3.45   -10.79   -12.55   38%    -4.41    -1.55    -5.57   1/11
  L 고점대비 -40~-25%                 250   9,408    -2.54   -17.95   -18.94   37%    -2.04    -3.77    -7.75   1/10
  L 1년수익 -50%↓                    120   3,718    +5.28   -10.47   -11.11   47%    +9.81    -3.20    -3.71   5/11
  L 1년수익 -50%↓                    250   2,679    +6.00   -18.15   -15.30   47%    +8.79    -0.33    -3.21   4/10
  L 1년수익 -50~-30%                 120   9,011    +3.49   -10.24   -11.93   42%    +7.02    -2.93    -2.68   2/11
  L 1년수익 -50~-30%                 250   5,803    +2.06   -17.99   -17.78   41%    +4.10    -2.51    -5.22   2/10
  L 20일선위 비율 ≤30%                 120   2,819    +0.19   -11.40   -13.22   38%    +3.81    -3.92    -6.44   2/11
  L 20일선위 비율 ≤30%                 250   2,036    +0.71   -20.86   -20.43   36%    +3.37    -2.99    -5.82   4/10
  L 20일선위 비율 ≥70%                 120     443    -5.98   -12.25   -12.99   39%    -8.79    +3.51   -12.79   4/11
  L 20일선위 비율 ≥70%                 250     348   -10.35   -13.93   -17.26   39%   -12.12    +0.76   -21.80   3/10
  L 2M/1Y 거래량 ≤60%                120  15,535    -2.53    -9.69   -11.19   38%    -3.25    -1.15    -4.22   2/11
  L 2M/1Y 거래량 ≤60%                250   8,863    -2.51   -16.41   -17.02   37%    -2.86    -1.67    -4.75   2/10
  L 소외 3종(고점·1년·거래량)              120   6,100    -1.97    -9.80   -11.29   43%    -2.32    -1.35    -4.94   4/11
  L 소외 3종(고점·1년·거래량)              250   4,181    -1.12   -17.36   -16.54   42%    -1.44    -0.39    -6.35   4/10
  M 시총 ≤1000억                     120  17,099    +2.30    -9.41   -10.26   41%    +5.12    -0.68    -0.62   6/11
  M 시총 ≤1000억                     250   8,894    +3.26   -15.81   -15.24   42%    +6.33    -0.80    -0.66   6/10
  S 외국인 60일 ≥1%                   120  14,208    -1.38    -9.39   -10.69   40%    -3.25    +2.03    -4.09   4/11
  S 외국인 60일 ≥1%                   250   8,425    -4.39   -16.53   -17.28   38%    -5.88    -0.98    -7.94   1/10
  S 기관 60일 ≥1%                    120   7,641    -3.87    -9.33   -11.17   40%    -6.96    +2.27    -5.70   2/11
  S 기관 60일 ≥1%                    250   4,919    -6.19   -17.31   -17.48   38%   -10.39    +4.27    -9.37   3/10
  S 공매도 비중 ≤0.3%                  120  17,822    +1.10    -9.50   -10.86   40%    +2.53    -1.59    -1.34   5/11
  S 공매도 비중 ≤0.3%                  250   9,780    -0.08   -16.78   -17.13   38%    +1.26    -2.98    -4.46   3/10
  X 120일 -40%↓                    120   4,913    +7.56    -9.33   -10.87   50%   +11.54    -1.90    -3.39   6/11
  X 120일 -40%↓                    250   3,892    +4.38   -17.90   -16.96   45%    +6.44    -1.13    -8.53   5/10
  X 250일 -50%↓                    120   3,718    +5.28   -10.47   -11.11   47%    +9.81    -3.20    -3.71   5/11
  X 250일 -50%↓                    250   2,679    +6.00   -18.15   -15.30   47%    +8.79    -0.33    -3.21   4/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,796    +0.64    -7.24    -9.06   54%    +3.73    -4.45    -5.61   5/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,910    +1.53   -13.37   -12.98   54%    +3.17    -1.98    -4.10   6/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,011    -0.00    -8.89    -9.40   59%    +4.25    -6.28    -7.07   5/11
  VL PBR≤0.5 + 고점 -40%↓           250     730    +6.35   -13.19    -9.07   59%   +12.47    -5.69    -9.12   5/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,554    +0.51    -8.07    -9.66   52%    +3.09    -3.41    -5.30   4/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,774    -0.11   -13.82   -13.69   52%    +1.59    -3.35   -11.79   5/10
  VL PBR≤0.8 + 거래량침체              120   3,683    -1.45    -6.31    -7.91   44%    -1.09    -1.88    -5.84   5/11
  VL PBR≤0.8 + 거래량침체              250   2,297    -3.19   -11.96   -12.48   44%    -3.00    -3.49    -9.23   4/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,820    +0.38    -6.18    -6.70   54%    +4.01    -4.39    -4.75   4/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250   1,239    +0.79   -12.03   -10.40   56%    +3.65    -4.19    -6.62   4/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,911    -2.70    -7.87    -9.77   52%    -1.15    -5.05    -8.28   4/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,397    -2.51   -13.28   -14.08   51%    +0.77    -8.82   -10.36   4/10

============================================================================================================================
생존 후보 — 중앙>0 · 절삭>0 · 학습·검증 둘 다>0 · 월CI>0 · 양수해 70%↑
============================================================================================================================
  없음

시험 132개 기록 · 누적 13,398개 · 결과 data/long_scan.pkl
