
============================================================================================================================
[KOSPI] 장기 축 정찰 — 유니버스 대비 초과(2016~) · 중복신호 제거 · 상위5% 절삭 포함
============================================================================================================================
  ※ '평균초과' 는 유니버스 평균 대비, 나머지는 유니버스 **중앙값** 대비다
  축                                보유      건수     평균초과     중앙초과      중앙값       절삭    승률       학습       검증      월CI    양수해
  L 소외 3종(고점·1년·거래량)              120   6,100    -1.97    +9.65    -0.73    +0.12   43%   +11.18    +6.94    +7.48  10/11
  L 소외 3종(고점·1년·거래량)              250   4,181    -1.12   +18.78    -1.03    +3.03   42%   +20.08   +15.82   +14.48  10/10
  M 시총 ≤1000억                     120  17,099    +2.30   +13.83    -0.41    +1.12   41%   +19.19    +8.15   +11.32  11/11
  M 시총 ≤1000억                     250   8,894    +3.26   +23.00    +0.26    +4.18   42%   +28.16   +16.16   +19.81  10/10
  S 외국인 60일 ≥1%                   120  14,208    -1.38   +10.59    -0.05    +1.14   40%   +10.18   +11.34    +8.68  11/11
  S 외국인 60일 ≥1%                   250   8,425    -4.39   +15.36    -0.44    +2.33   38%   +15.38   +15.32   +13.52  10/10
  S 기관 60일 ≥1%                    120   7,641    -3.87    +8.39    +0.03    +0.98   40%    +6.97   +11.21    +7.18  11/11
  S 기관 60일 ≥1%                    250   4,919    -6.19   +13.84    -0.68    +2.38   38%   +11.34   +20.08   +12.46  10/10
  S 공매도 비중 ≤0.3%                  120  17,822    +1.10   +12.37    -0.86    +0.29   40%   +15.61    +6.29   +10.69  11/11
  S 공매도 비중 ≤0.3%                  250   9,780    -0.08   +18.78    -1.31    +1.47   38%   +22.25   +11.29   +16.20  10/10
  X 120일 -40%↓                    120   4,913    +7.56   +20.18    +0.39    +1.39   50%   +26.16    +5.95    +8.66  10/11
  X 120일 -40%↓                    250   3,892    +4.38   +24.42    -1.72    +2.60   45%   +28.25   +14.15   +12.17  10/10
  X 250일 -50%↓                    120   3,718    +5.28   +18.07    -0.73    +1.17   47%   +25.02    +5.09    +8.24  10/11
  X 250일 -50%↓                    250   2,679    +6.00   +27.12    -0.57    +5.36   47%   +31.85   +16.41   +17.48   9/10
  VL PBR≤0.8 + 고점 -40%↓           120   2,796    +0.64   +12.43    +1.84    +2.51   54%   +17.66    +3.79    +6.97  11/11
  VL PBR≤0.8 + 고점 -40%↓           250   1,910    +1.53   +21.21    +2.81    +6.54   54%   +24.24   +14.73   +17.17  10/10
  VL PBR≤0.5 + 고점 -40%↓           120   1,011    -0.00   +12.71    +0.87    +2.89   59%   +19.75    +2.31    +4.31  10/11
  VL PBR≤0.5 + 고점 -40%↓           250     730    +6.35   +27.34    +2.66   +11.57   59%   +35.00   +12.27   +10.83  10/10
  VL PBR≤0.8 + 1년 -30%↓           120   2,554    +0.51   +12.36    +1.15    +1.96   52%   +17.34    +4.79    +7.00   9/11
  VL PBR≤0.8 + 1년 -30%↓           250   1,774    -0.11   +19.75    +2.74    +6.01   52%   +23.04   +13.47    +9.77   9/10
  VL PBR≤0.8 + 거래량침체              120   3,683    -1.45    +9.21    +1.96    +2.68   44%   +11.17    +6.80    +7.80  11/11
  VL PBR≤0.8 + 거래량침체              250   2,297    -3.19   +15.49    +3.72    +6.14   44%   +17.30   +12.56   +12.90  10/10
  VLF PBR≤0.8 + 고점-40 + 부채≤100    120   1,820    +0.38   +10.43    +2.37    +3.06   54%   +15.36    +3.95    +3.85   8/9
  VLF PBR≤0.8 + 고점-40 + 부채≤100    250   1,239    +0.79   +18.60    +3.81    +7.24   56%   +22.03   +12.64    +8.96   8/8
  VLS PBR≤0.8 + 고점-40 + 외인60      120   1,911    -2.70    +9.06    +1.21    +1.83   52%   +12.85    +3.33    +5.05  11/11
  VLS PBR≤0.8 + 고점-40 + 외인60      250   1,397    -2.51   +17.21    +2.66    +5.53   51%   +21.67    +8.60   +11.42  10/10

============================================================================================================================
생존 후보 — **유니버스 중앙값 기준** · 중앙>0 · 절삭>0 · 학습·검증>0 · 월CI>0 · 양수해 70%↑
============================================================================================================================
  [KOSDAQ] M 시총 ≤1000억                    250일 · 8,894건 · 중앙기준초과 +23.00%p 중앙 +0.26 절삭 +4.18 CI+19.81 양수해 10/10 (평균기준 +3.26)
  [KOSDAQ] V PBR ≤1.2                     250일 · 5,750건 · 중앙기준초과 +18.96%p 중앙 +2.73 절삭 +6.02 CI+17.63 양수해 10/10 (평균기준 -0.80)
  [KOSDAQ] VL PBR≤0.8 + 고점 -40%↓          250일 · 1,910건 · 중앙기준초과 +21.21%p 중앙 +2.81 절삭 +6.54 CI+17.17 양수해 10/10 (평균기준 +1.53)
  [KOSDAQ] V PBR ≤0.8                     250일 · 3,277건 · 중앙기준초과 +19.62%p 중앙 +4.32 절삭 +6.89 CI+15.79 양수해 10/10 (평균기준 +0.51)
  [KOSDAQ] V PBR ≤0.8 + PER ≤15           250일 · 1,837건 · 중앙기준초과 +19.78%p 중앙 +5.55 절삭 +8.97 CI+15.40 양수해 10/10 (평균기준 +0.31)
  [KOSDAQ] V PBR ≤0.5                     250일 · 1,178건 · 중앙기준초과 +23.57%p 중앙 +5.41 절삭 +9.44 CI+13.35 양수해 10/10 (평균기준 +3.98)
  [KOSPI] V PBR ≤0.3                     250일 ·   690건 · 중앙기준초과 +23.17%p 중앙 +8.49 절삭 +11.92 CI+13.09 양수해 7/10 (평균기준 +7.21)
  [KOSDAQ] F 부채 ≤100 + PBR ≤0.8           250일 · 2,047건 · 중앙기준초과 +16.83%p 중앙 +3.98 절삭 +6.43 CI+13.00 양수해 8/8 (평균기준 +0.11)
  [KOSDAQ] VL PBR≤0.8 + 거래량침체             250일 · 2,297건 · 중앙기준초과 +15.49%p 중앙 +3.72 절삭 +6.14 CI+12.90 양수해 10/10 (평균기준 -3.19)
  [KOSPI] V PBR ≤0.5                     250일 · 2,137건 · 중앙기준초과 +18.30%p 중앙 +5.05 절삭 +8.65 CI+12.82 양수해 10/10 (평균기준 +3.72)
  [KOSPI] M 시총 ≤1000억                    250일 · 2,318건 · 중앙기준초과 +18.92%p 중앙 +1.30 절삭 +5.17 CI+11.87 양수해 9/10 (평균기준 +3.65)
