date,ticker,name,y,grp,n40,n20,k60
20210909,034830,한국토지신탁,2021,생존,-8.971286307053948,-2.5397510373444034,False
20210913,034830,한국토지신탁,2021,생존,-3.593987473903967,-1.7150730688935325,False
20210915,034830,한국토지신탁,2021,생존,-0.044926931106478385,-0.46246346555323914,False
20210916,034830,한국토지신탁,2021,생존,5.180606060606055,-4.112323232323231,False
20240112,035420,NAVER,2024,생존,-18.466956521739128,-11.249565217391309,True
20240115,035420,NAVER,2024,생존,-18.270109890109893,-11.369010989010995,True
20210420,036460,한국가스공사,2021,생존,17.053432392273407,-6.86930163447251,True
20240603,039490,키움증권,2024,생존,2.67870570107859,-3.484622496147924,False
20201008,051900,LG생활건강,2020,생존,-2.8158974358974382,-2.5594871794871827,True
20201012,051900,LG생활건강,2020,생존,-2.8909855618330234,-4.523126177024481,True
20201013,051900,LG생활건강,2020,생존,0.009357560025960221,-1.1587151200519092,True
20201014,051900,LG생활건강,2020,생존,-0.05741935483871441,0.9748387096774084,True
20201015,051900,LG생활건강,2020,생존,-2.7396938775510167,2.1072448979591734,True
20201016,051900,LG생활건강,2020,생존,-1.2632807570977929,-0.9478233438485836,False
20201027,051900,LG생활건강,2020,생존,5.417101449275366,1.3327799736495365,False
20201028,051900,LG생활건강,2020,생존,5.537159763313618,1.395147928994092,False
20201029,051900,LG생활건강,2020,생존,7.3786206896551825,1.5430769230769164,False
20201102,051900,LG생활건강,2020,생존,6.4846864686468635,-0.44600660066006237,False
20201103,051900,LG생활건강,2020,생존,6.198947368421062,0.8042105263157876,False
20201126,051900,LG생활건강,2020,생존,5.479375,5.414270833333326,True
20201207,051900,LG생활건강,2020,생존,3.7920154043645597,2.8934274711168078,True
20201217,051900,LG생활건강,2020,생존,-1.3725558312655068,-4.164119106699757,True
20230308,064960,SNT모티브,2023,생존,-1.1803663003662948,-4.612600732600733,True
20230309,064960,SNT모티브,2023,생존,-0.059719397223675585,-5.582694677455277,True
20230310,064960,SNT모티브,2023,생존,0.26690185094061825,-3.2797880313410768,True
20230313,064960,SNT모티브,2023,생존,1.378497316636854,-5.087662492546216,True
20240226,081660,미스토홀딩스,2024,생존,0.6813861386138516,-5.135445544554459,True
20240227,081660,미스토홀딩스,2024,생존,-1.5474101610904538,-5.140966542750933,True
20240307,081660,미스토홀딩스,2024,생존,-6.547970660146704,-7.770464547677266,True
20240308,081660,미스토홀딩스,2024,생존,-1.6664364981504336,-8.694796547472258,True
20240311,081660,미스토홀딩스,2024,생존,-3.2409756097560996,-10.436097560975607,True
20240312,081660,미스토홀딩스,2024,생존,-3.1220024420024446,-8.860708180708185,True
20240313,081660,미스토홀딩스,2024,생존,-1.4244168734491274,-5.8909181141439255,True
20240314,081660,미스토홀딩스,2024,생존,-4.22957160342717,-6.799951040391679,True
20240315,081660,미스토홀딩스,2024,생존,-1.1732182490752112,-4.502441430332923,True
20240502,081660,미스토홀딩스,2024,생존,-4.734054054054057,-4.119803439803435,True
20240726,081660,미스토홀딩스,2024,생존,4.754782608695654,0.890048309178751,False
20240729,081660,미스토홀딩스,2024,생존,7.23100123609394,4.140766378244757,True
20240730,081660,미스토홀딩스,2024,생존,1.3731400966183667,1.7354589371980784,False
20210421,086790,하나금융지주,2021,생존,8.51423076923077,7.071923076923084,True
20210917,088980,맥쿼리인프라,2021,생존,11.581913906224985,4.004701552248349,False
20210923,088980,맥쿼리인프라,2021,생존,12.382041926708267,5.6049575932149125,False
20210924,088980,맥쿼리인프라,2021,생존,12.34017215270582,6.777089344066314,False
20210927,088980,맥쿼리인프라,2021,생존,12.34017215270582,8.36312584681598,False
20231228,089860,롯데렌탈,2023,생존,-2.324043321299637,-4.309602888086647,True
20210402,090430,아모레퍼시픽,2021,생존,10.731111111111115,5.078089668615984,True
20210423,090430,아모레퍼시픽,2021,생존,3.786666666666674,9.84727272727273,True
20210426,090430,아모레퍼시픽,2021,생존,-0.9536137667303964,13.195525812619492,True
20210420,111770,영원무역,2021,생존,4.320000000000005,16.34380952380953,True
20210423,111770,영원무역,2021,생존,6.002867557715677,13.050255164034011,True
20210427,111770,영원무역,2021,생존,0.9787677725118378,11.523791469194304,True
20210428,111770,영원무역,2021,생존,4.640435308343408,14.193035066505436,True
20250310,111770,영원무역,2025,생존,-0.7891703056768533,-6.138515283842791,True
20250311,111770,영원무역,2025,생존,0.4034236186348934,-9.889100758396538,True
20231211,138040,메리츠금융지주,2023,생존,21.728843537414956,-0.7201360544217691,True
20231212,138040,메리츠금융지주,2023,생존,21.537808219178082,1.1610958904109596,True
20240112,138040,메리츠금융지주,2024,생존,38.50888888888888,19.485319865319877,True
20240115,138040,메리츠금융지주,2024,생존,43.95164128595601,21.4474111675127,True
20240116,138040,메리츠금융지주,2024,생존,35.345938009787936,15.933213703099506,True
20240117,138040,메리츠금융지주,2024,생존,38.57446880269815,25.758279932546383,False
20210811,139130,iM금융지주,2021,생존,2.4861016949152464,-5.035084745762717,False
20210812,139130,iM금융지주,2021,생존,5.93025641025641,-1.868888888888884,False
20210813,139130,iM금융지주,2021,생존,9.211160809371668,-1.1189776357827448,False
20210817,139130,iM금융지주,2021,생존,12.98362649294246,1.0400868621064068,False
20210903,145990,삼양사,2021,생존,3.2738461538461525,3.88923076923077,False
20210906,145990,삼양사,2021,생존,1.3927272727272708,1.2412121212121239,False
20210907,145990,삼양사,2021,생존,3.286666666666674,6.681728395061729,False
20260318,210980,SK디앤디,2026,생존,-5.397611026033686,-1.7988361408882128,True
20240311,259960,크래프톤,2024,생존,11.986737739872067,3.457953091684443,True
20240312,259960,크래프톤,2024,생존,10.067761194029858,2.8182942430703655,True
20240919,267250,HD현대,2024,생존,-5.558791615289768,-0.8732182490752113,False
20240924,267250,HD현대,2024,생존,-4.123961352657011,-2.795458937198067,False
20240925,267250,HD현대,2024,생존,-2.087317073170733,-1.5995121951219522,False
20250131,271560,오리온,2025,생존,18.13167002012072,2.035090543259557,True
20250203,271560,오리온,2025,생존,16.450693069306922,1.500198019801982,False
20250326,271560,오리온,2025,생존,-4.186228373702425,4.118269896193774,True
20240426,280360,롯데웰푸드,2024,생존,30.74962962962963,8.379259259259257,False
