snap,kind,gname,ticker
20260828,theme,도시가스,016710
20260828,theme,도시가스,017390
20260828,theme,도시가스,034590
20260828,theme,도시가스,036460
20260828,theme,도시가스,117580
20260828,theme,도시가스,267290
20260828,theme,LPG(액화석유가스),010950
20260828,theme,LPG(액화석유가스),014530
20260828,theme,LPG(액화석유가스),017940
20260828,theme,LPG(액화석유가스),018670
20260828,theme,LPG(액화석유가스),078930
20260828,theme,LPG(액화석유가스),096770
20260828,theme,LPG(액화석유가스),128820
20260828,theme,전선,000500
20260828,theme,전선,001440
20260828,theme,전선,006260
20260828,theme,전선,006340
20260828,theme,전선,103590
20260828,theme,전선,229640
20260828,theme,전자파,042700
20260828,theme,석유화학,003240
20260828,theme,석유화학,005950
20260828,theme,석유화학,006650
20260828,theme,석유화학,009830
20260828,theme,석유화학,011170
20260828,theme,석유화학,011780
20260828,theme,석유화학,011790
20260828,theme,석유화학,025000
20260828,theme,석유화학,051910
20260828,theme,석유화학,083420
20260828,theme,석유화학,096770
20260828,theme,석유화학,102260
20260828,theme,석유화학,120110
20260828,theme,석유화학,145990
20260828,theme,석유화학,161000
20260828,theme,석유화학,285130
20260828,theme,석유화학,298000
20260828,theme,테마파크,000720
20260828,theme,테마파크,023350
20260828,theme,테마파크,084680
20260828,theme,수자원(양적/질적 개선),000970
20260828,theme,수자원(양적/질적 개선),001390
20260828,theme,수자원(양적/질적 개선),002150
20260828,theme,수자원(양적/질적 개선),002990
20260828,theme,수자원(양적/질적 개선),003070
20260828,theme,수자원(양적/질적 개선),006360
20260828,theme,수자원(양적/질적 개선),008970
20260828,theme,수자원(양적/질적 개선),009410
20260828,theme,수자원(양적/질적 개선),021240
20260828,theme,수자원(양적/질적 개선),023350
20260828,theme,수자원(양적/질적 개선),028050
20260828,theme,수자원(양적/질적 개선),034020
20260828,theme,수자원(양적/질적 개선),047040
20260828,theme,수자원(양적/질적 개선),071090
20260828,theme,정유,010950
20260828,theme,정유,078930
20260828,theme,정유,096770
20260828,theme,핵융합에너지,001820
20260828,theme,핵융합에너지,002240
20260828,theme,핵융합에너지,034020
20260828,theme,풍력에너지,000720
20260828,theme,풍력에너지,003030
20260828,theme,풍력에너지,003070
20260828,theme,풍력에너지,004440
20260828,theme,풍력에너지,004800
20260828,theme,풍력에너지,005490
20260828,theme,풍력에너지,006260
20260828,theme,풍력에너지,015760
20260828,theme,풍력에너지,034020
20260828,theme,풍력에너지,052690
20260828,theme,풍력에너지,075580
20260828,theme,풍력에너지,100090
20260828,theme,풍력에너지,112610
20260828,theme,풍력에너지,229640
