F,date,ticker,name,grp,r,y
1번 상승초입,20240528,005070,코스모신소재,생존,11.802410423452761,2024
1번 상승초입,20210121,005320,온타이드,생존,0.918701298701288,2021
1번 상승초입,20210122,005320,온타이드,생존,-3.1053668763102755,2021
1번 상승초입,20200211,005690,파미셀,생존,-7.69769499417928,2020
1번 상승초입,20240527,006110,삼아알미늄,생존,18.262293464858207,2024
1번 상승초입,20240528,006110,삼아알미늄,생존,9.40095238095239,2024
1번 상승초입,20250701,006340,대원전선,생존,-5.5362499999999955,2025
1번 상승초입,20251013,006340,대원전선,생존,-4.023465045592708,2025
1번 상승초입,20251014,006340,대원전선,생존,-2.4923839009287936,2025
1번 상승초입,20251015,006340,대원전선,생존,4.743880597014929,2025
1번 상승초입,20211203,006650,대한유화,생존,1.042842639593902,2021
1번 상승초입,20210106,006980,우성,생존,2.2762500000000045,2021
1번 상승초입,20210107,006980,우성,생존,1.4492682926829286,2021
1번 상승초입,20210108,006980,우성,생존,1.0153488372093094,2021
1번 상승초입,20250909,007660,이수페타시스,생존,2.50065843621399,2025
1번 상승초입,20250910,007660,이수페타시스,생존,1.2329032258064503,2025
1번 상승초입,20211025,007860,서연,생존,19.52,2021
1번 상승초입,20230323,008350,남선알미늄,생존,-4.8098969072164905,2023
1번 상승초입,20230324,008350,남선알미늄,생존,-4.168524590163933,2023
1번 상승초입,20250610,008930,한미사이언스,생존,15.389712140175218,2025
1번 상승초입,20220523,009830,한화솔루션,생존,19.62,2022
1번 상승초입,20251024,009830,한화솔루션,생존,-21.19361135985672,2025
1번 상승초입,20251027,009830,한화솔루션,생존,-18.30678530462426,2025
1번 상승초입,20251028,009830,한화솔루션,생존,-14.19864875543264,2025
1번 상승초입,20251103,009830,한화솔루션,생존,-17.882338634237602,2025
1번 상승초입,20260114,009830,한화솔루션,생존,-2.624644293339182,2026
1번 상승초입,20260115,009830,한화솔루션,생존,-3.567704568094496,2026
1번 상승초입,20260116,009830,한화솔루션,생존,-3.363408972546686,2026
1번 상승초입,20260119,009830,한화솔루션,생존,-5.399759841921267,2026
1번 상승초입,20260123,009830,한화솔루션,생존,19.62,2026
1번 상승초입,20260126,009830,한화솔루션,생존,19.62,2026
1번 상승초입,20220323,009900,명신산업,생존,-3.0551072961373356,2022
1번 상승초입,20231222,010060,OCI홀딩스,생존,3.355616438356171,2023
1번 상승초입,20240527,010060,OCI홀딩스,생존,-7.572907092907098,2024
1번 상승초입,20250904,010130,고려아연,생존,19.62,2025
1번 상승초입,20250905,010130,고려아연,생존,19.62,2025
1번 상승초입,20201109,010140,삼성중공업,생존,19.62,2020
1번 상승초입,20201110,010140,삼성중공업,생존,19.62,2020
1번 상승초입,20201111,010140,삼성중공업,생존,19.62,2020
1번 상승초입,20201112,010140,삼성중공업,생존,19.62,2020
1번 상승초입,20220303,010140,삼성중공업,생존,-7.75018425460636,2022
1번 상승초입,20260108,010140,삼성중공업,생존,12.354082397003753,2026
1번 상승초입,20260109,010140,삼성중공업,생존,6.286666666666665,2026
1번 상승초입,20221116,011000,진원생명과학,생존,-13.68049813200498,2022
1번 상승초입,20211227,011210,현대위아,생존,-6.576840826245442,2021
1번 상승초입,20211228,011210,현대위아,생존,-3.5898765432098774,2021
1번 상승초입,20260120,011790,SKC,생존,8.355675371031369,2026
1번 상승초입,20260122,011790,SKC,생존,-2.6548850457024793,2026
1번 상승초입,20260123,011790,SKC,생존,-5.910646939042382,2026
1번 상승초입,20260126,011790,SKC,생존,-1.2496295748066406,2026
1번 상승초입,20240314,011930,신성이엔지,생존,-3.443457330415753,2024
1번 상승초입,20201217,012510,더존비즈온,폐지,-2.7055813953488412,2020
1번 상승초입,20230414,019170,신풍제약,생존,-18.434545454545457,2023
1번 상승초입,20210615,020150,롯데에너지머티리얼즈,생존,3.786666666666674,2021
1번 상승초입,20210715,020150,롯데에너지머티리얼즈,생존,7.764192256341798,2021
1번 상승초입,20210511,020560,아시아나항공,생존,11.21284467713787,2021
1번 상승초입,20240902,022100,포스코DX,생존,-5.600228384991843,2024
1번 상승초입,20250721,022100,포스코DX,생존,-15.22962406015038,2025
1번 상승초입,20251017,022100,포스코DX,생존,4.510019960079839,2025
1번 상승초입,20251020,022100,포스코DX,생존,12.523225806451622,2025
1번 상승초입,20210901,026890,스틱인베스트먼트,생존,-2.736902356902357,2021
1번 상승초입,20190916,028050,삼성E&A,생존,-5.195864022662886,2019
1번 상승초입,20190917,028050,삼성E&A,생존,-1.536069364161849,2019
1번 상승초입,20240926,028670,팬오션,생존,-6.713766233766236,2024
1번 상승초입,20240927,028670,팬오션,생존,-11.632416356877327,2024
1번 상승초입,20240311,034020,두산에너빌리티,생존,1.5646081319976384,2024
1번 상승초입,20240312,034020,두산에너빌리티,생존,0.20445353594389626,2024
1번 상승초입,20240313,034020,두산에너빌리티,생존,-1.6229378531073397,2024
1번 상승초입,20260106,034020,두산에너빌리티,생존,11.737647058823521,2026
1번 상승초입,20260107,034020,두산에너빌리티,생존,7.031764705882362,2026
1번 상승초입,20201112,034730,SK,생존,-0.38,2020
1번 상승초입,20201116,034730,SK,생존,-4.243636363636369,2020
1번 상승초입,20250625,036460,한국가스공사,생존,19.62,2025
1번 상승초입,20260123,036460,한국가스공사,생존,-0.7467481662591676,2026
1번 상승초입,20220221,037270,YG PLUS,생존,-1.3238818565400852,2022
1번 상승초입,20250528,037270,YG PLUS,생존,4.420000000000004,2025
1번 상승초입,20250529,037270,YG PLUS,생존,11.048571428571432,2025
1번 상승초입,20230202,042660,한화오션,생존,11.104541062801934,2023
1번 상승초입,20260108,042660,한화오션,생존,5.952046332046337,2026
1번 상승초입,20260109,042660,한화오션,생존,3.3921893491124315,2026
1번 상승초입,20220603,042670,HD현대인프라코어,폐지,-24.20634643377002,2022
1번 상승초입,20250915,042700,한미반도체,생존,-0.9234782608695676,2025
1번 상승초입,20250916,042700,한미반도체,생존,4.17037919826653,2025
1번 상승초입,20240312,047050,포스코인터내셔널,생존,-10.590696920583474,2024
1번 상승초입,20240313,047050,포스코인터내셔널,생존,-10.871803278688528,2024
1번 상승초입,20260114,047050,포스코인터내셔널,생존,12.517526501766786,2026
1번 상승초입,20260115,047050,포스코인터내셔널,생존,8.315652173913037,2026
1번 상승초입,20201112,047810,한국항공우주,생존,1.4147368421052602,2020
1번 상승초입,20201113,047810,한국항공우주,생존,-0.060712788259950745,2020
1번 상승초입,20230713,052690,한전기술,생존,-9.946326530612247,2023
1번 상승초입,20200113,064350,현대로템,생존,-14.80664756446992,2020
1번 상승초입,20200114,064350,현대로템,생존,-16.41498542274052,2020
1번 상승초입,20200115,064350,현대로템,생존,-19.183418803418803,2020
1번 상승초입,20210420,064350,현대로템,생존,-9.321176470588231,2021
1번 상승초입,20240223,064350,현대로템,생존,-5.25062404870624,2024
1번 상승초입,20260511,064400,LG씨엔에스,생존,19.62,2026
1번 상승초입,20260512,064400,LG씨엔에스,생존,19.62,2026
1번 상승초입,20210623,069620,대웅제약,생존,-6.449364161849711,2021
1번 상승초입,20210624,069620,대웅제약,생존,-10.464033613445377,2021
1번 상승초입,20210625,069620,대웅제약,생존,-7.459646017699115,2021
1번 상승초입,20251224,071970,HD현대마린엔진,생존,6.329265175718859,2025
1번 상승초입,20251226,071970,HD현대마린엔진,생존,7.624268943436511,2025
1번 상승초입,20211122,090460,비에이치,생존,11.868668280871667,2021
1번 상승초입,20211123,090460,비에이치,생존,8.654615384615374,2021
1번 상승초입,20210625,092220,KEC,생존,-13.782457757296472,2021
1번 상승초입,20200212,093370,후성,생존,-17.334116498535632,2020
1번 상승초입,20210630,093370,후성,생존,14.20432919954905,2021
1번 상승초입,20230713,093370,후성,생존,-9.045472458575908,2023
1번 상승초입,20230714,093370,후성,생존,-5.943063063063067,2023
1번 상승초입,20260127,097230,HJ중공업,생존,-14.091151736745887,2026
1번 상승초입,20260128,097230,HJ중공업,생존,-8.50379110251451,2026
1번 상승초입,20260223,097230,HJ중공업,생존,-9.595686274509806,2026
1번 상승초입,20211203,097520,엠씨넥스,생존,3.5647731755424044,2021
1번 상승초입,20211206,097520,엠씨넥스,생존,1.5505019305019268,2021
1번 상승초입,20220421,100090,SK오션플랜트,생존,2.753830845771135,2022
1번 상승초입,20250526,100840,SNT에너지,생존,-3.0087356321839094,2025
1번 상승초입,20250527,100840,SNT에너지,생존,-2.312760595647198,2025
1번 상승초입,20240304,103590,일진전기,생존,19.52,2024
1번 상승초입,20210415,128940,한미약품,생존,-5.919159513140113,2021
1번 상승초입,20210705,128940,한미약품,생존,-9.396670665467985,2021
1번 상승초입,20211208,128940,한미약품,생존,1.7270435574087943,2021
1번 상승초입,20191223,180640,한진칼,생존,-13.050157068062827,2019
1번 상승초입,20260508,204320,HL만도,생존,2.393246329526913,2026
1번 상승초입,20260511,204320,HL만도,생존,-1.006959247648906,2026
1번 상승초입,20260512,204320,HL만도,생존,4.1654545454545415,2026
1번 상승초입,20210420,207940,삼성바이오로직스,생존,-8.331867507254085,2021
1번 상승초입,20211216,207940,삼성바이오로직스,생존,-5.626595621272066,2021
1번 상승초입,20211217,207940,삼성바이오로직스,생존,-5.582848492479573,2021
1번 상승초입,20250109,229640,LS에코에너지,생존,19.62,2025
1번 상승초입,20250110,229640,LS에코에너지,생존,19.62,2025
1번 상승초입,20250805,229640,LS에코에너지,생존,-9.12197530864198,2025
1번 상승초입,20250806,229640,LS에코에너지,생존,-9.43705521472393,2025
1번 상승초입,20250807,229640,LS에코에너지,생존,-11.41368176538908,2025
1번 상승초입,20250808,229640,LS에코에너지,생존,-13.097391304347825,2025
1번 상승초입,20251015,229640,LS에코에너지,생존,4.7596648044692795,2025
1번 상승초입,20251016,229640,LS에코에너지,생존,10.665828437132776,2025
1번 상승초입,20260123,229640,LS에코에너지,생존,1.8949999999999938,2026
