ticker,shares,equity,as_of
005180,9555703,748835768426,20260415
005190,5335564,129936461536,20210415
005250,47028210,794797657155,20260415
005290,51414494,1024569930229,20260415
005300,10054194,1510739265979,20260415
005320,68375690,105651443027,20260415
005360,18897307,89286251316,20260415
005380,204757766,73023405000000,20260415
005390,143708390,548513039181,20260415
005420,38408228,180910264312,20260415
005430,3166355,410337073596,20260415
005440,155904301,1952382535000,20260415
005450,7022839,3330349536,20250415
005490,80932952,48360348882461,20260415
0054V0,6216500,11725030423,20260415
005500,13320000,298770557730,20260415
005610,8629009,434059111552,20260415
005670,10000000,79682039120,20260415
005680,20000000,550344149057,20260415
005690,60016964,143366119131,20260415
005710,20037600,517482846584,20260415
005720,53543977,733704789915,20260415
005740,14847347,306518888600,20260415
005750,16672240,176832986872,20260415
005800,9000000,346518277408,20260415
005810,14417292,436634911183,20260415
005820,2297970,97920013233,20260415
005830,69384000,12345489000000,20260415
005850,46448520,2025183449102,20260415
005860,39403685,56334751598,20260415
005870,14116015,160447667878,20260415
005880,322747340,1849295633653,20260415
005930,5919637922,358350799000000,20260415
005940,356344369,9818105000000,20260415
005950,26294169,378738382000,20260415
005960,22978816,551302096980,20260415
005980,5783057,10804621850,20240414
005990,13298304,372311049953,20260415
006040,44147986,2614673315907,20260415
006050,34895243,52384958367,20260415
006060,55320000,216716846119,20260415
006090,9422739,253328854948,20260415
006110,14711916,221562798389,20260415
006120,18347855,1003846789492,20260415
006140,15000000,142090898895,20260415
006200,46803136,153274595214,20260415
006220,37798557,645562000000,20260415
006260,31700000,5240504000000,20260415
006280,11686538,1288150537322,20260415
006340,77074671,153783591042,20260415
006360,85581490,4504443000000,20260415
006370,10821611,180481348173,20260415
006380,168999996,66791404857,20260415
006390,19327672,437650438843,20250415
006400,80585530,14464647618007,20260415
006490,125886117,1811139121,20260415
006570,15225000,46672706562,20260415
006580,26850000,123351738208,20260415
006620,28464992,142183201183,20260415
006650,6500000,1658242689778,20260415
006660,8126314,260847970582,20260415
006730,64926923,1001480566249,20260415
006740,56975588,87018352412,20260415
006800,567085734,10565327000000,20260415
006840,13247561,676065502753,20260415
006880,11828858,134556707327,20260415
006890,11600000,161255722659,20260415
0068Y0,4310000,8396842914,20260415
006910,49129824,119055020813,20260415
006920,10920000,15544568552,20260415
006980,3090000,171445986637,20260415
007070,83607415,3416770696121,20260415
007110,77456610,58791200068,20260415
007120,28878608,47586688989,20260415
007160,5000000,296272900727,20260415
0071M0,5760000,10951086503,20260415
007210,66860000,263399492201,20260415
007280,60813311,205672879735,20260415
0072Z0,7885000,15612784139,20260415
007310,4007830,1734245099111,20260415
007330,15082800,318050689313,20260415
007340,58510865,1465188092000,20260415
007370,14134587,162158792919,20260415
007390,64435056,62851703930,20260415
007460,329305030,232577372144,20260415
007530,22254231,45849978608,20260415
007540,2875800,219216770932,20260415
007570,19085664,213161975279,20260415
007590,13617577,183433824950,20260415
007610,18000000,34007565941,20260415
007630,45007695,63243723502,20220415
007660,73409219,859015562996,20260415
007680,13446474,281043044281,20260415
007690,9260832,887451401289,20260415
007700,39114367,1993593946845,20260415
007720,100800450,49349289466,20260415
007770,3510000,85268651921,20260415
007810,23620751,430224329853,20260415
007820,20033946,52070010398,20260415
007860,23479844,354566284351,20260415
007980,51175130,312306820710,20260415
008000,46363851,306888462989,20190415
008040,141144600,111932093545,20260415
008060,33890150,497691887221,20260415
008110,10490447,237104446413,20260415
008250,10952635,116843023576,20260415
008260,28600117,276629078850,20260415
008290,40693679,13994095665,20260415
0082N0,10906030,46317176305,20260415
008350,129079090,188045919779,20260415
008370,12000000,96618612043,20260415
008420,20503505,198716849663,20260415
008470,8404800,80217980426,20260415
008490,11569113,369884247146,20260415
008500,6000000,18788716910,20260415
