fam,ticker,dt,entry,market,amt20,r5,r10,r20,r40
공급계약,091590,20210205,20210208,KOSDAQ,13.9,-1.59,-0.36,-2.83,-14.76
배당결정,001740,20210205,20210208,KOSPI,132.7,-5.1,-2.19,-5.28,0.16
배당결정,056360,20210205,20210208,KOSDAQ,20.7,0.61,-4.35,-9.39,-9.39
배당결정,053050,20210205,20210208,KOSDAQ,5.0,0.36,-6.39,1.59,3.43
배당결정,010470,20210205,20210208,KOSDAQ,11.1,4.11,-5.77,-3.65,3.76
배당결정,004310,20210205,20210208,KOSPI,156.0,-1.44,-1.3,3.31,-0.64
배당결정,036670,20210205,20210208,KOSDAQ,5.1,1.91,-2.54,-5.4,1.49
배당결정,004990,20210205,20210208,KOSPI,109.5,2.75,-0.83,-2.02,-0.38
배당결정,005740,20210205,20210208,KOSPI,8.7,-1.07,-5.12,3.08,16.5
배당결정,007570,20210205,20210208,KOSPI,309.2,-3.75,-9.18,-39.33,-37.74
배당결정,014580,20210205,20210208,KOSPI,107.9,12.12,-0.61,-4.24,5.98
배당결정,014680,20210205,20210208,KOSPI,196.7,4.95,4.06,0.06,13.4
배당결정,017390,20210205,20210208,KOSPI,2.2,12.13,6.33,2.57,1.78
배당결정,020000,20210205,20210208,KOSPI,40.6,10.4,10.25,10.7,19.68
배당결정,011170,20210205,20210208,KOSPI,1010.9,2.88,3.57,4.77,1.51
배당결정,037710,20210205,20210208,KOSPI,5.9,9.12,4.14,6.79,13.77
배당결정,003380,20210205,20210208,KOSDAQ,35.3,4.07,4.19,6.61,16.75
배당결정,055550,20210205,20210208,KOSPI,1044.4,1.48,2.25,9.22,15.41
배당결정,086790,20210205,20210208,KOSPI,878.2,4.45,1.69,12.74,14.68
배당결정,100220,20210205,20210208,KOSPI,1.3,3.63,0.06,2.85,9.98
배당결정,138930,20210205,20210208,KOSPI,123.8,1.7,2.91,10.87,16.58
배당결정,175330,20210205,20210208,KOSPI,29.9,1.95,1.43,8.44,15.11
배당결정,264900,20210205,20210208,KOSPI,40.8,4.08,-5.73,-4.01,47.89
배당결정,036570,20210205,20210208,KOSPI,1172.9,0.12,-6.42,-6.72,-9.94
배당결정,285130,20210205,20210208,KOSPI,1875.7,-9.23,-8.27,-34.83,-39.38
배당결정,089010,20210208,20210209,KOSDAQ,302.7,-5.48,-7.04,-14.07,-14.23
배당결정,083450,20210208,20210209,KOSDAQ,75.3,1.87,3.39,2.63,34.18
배당결정,079170,20210208,20210209,KOSDAQ,4.3,-1.87,-7.13,-3.32,3.64
배당결정,067160,20210208,20210209,KOSDAQ,175.0,9.0,2.86,1.79,8.6
배당결정,060480,20210208,20210209,KOSDAQ,6.6,4.79,16.46,9.18,13.95
배당결정,045060,20210208,20210209,KOSDAQ,11.5,-0.17,-5.53,-7.66,0.64
배당결정,049070,20210208,20210209,KOSDAQ,45.1,1.1,-3.93,-1.64,-6.22
배당결정,046890,20210208,20210209,KOSDAQ,182.0,-0.72,-4.34,-9.88,-9.4
배당결정,039240,20210208,20210209,KOSDAQ,35.4,2.32,30.4,21.29,91.24
배당결정,089980,20210208,20210209,KOSDAQ,329.8,-0.83,-15.13,-18.46,-10.3
배당결정,036640,20210208,20210209,KOSDAQ,34.2,7.32,-1.36,-6.51,-4.58
배당결정,049720,20210208,20210209,KOSDAQ,10.0,-2.46,-1.97,1.46,19.44
배당결정,092730,20210208,20210209,KOSDAQ,45.4,-0.28,-2.37,-3.71,6.29
배당결정,225190,20210208,20210209,KOSDAQ,3.7,-0.56,-1.79,-0.56,7.24
공급계약,141000,20210208,20210209,KOSDAQ,28.9,9.62,-0.04,-6.34,-0.04
공급계약,171090,20210208,20210209,KOSDAQ,95.5,30.16,24.09,56.33,51.19
공급계약,230240,20210208,20210209,KOSDAQ,32.5,0.81,-13.61,-24.66,-15.3
자사주직접,119830,20210208,20210209,KOSDAQ,44.2,-5.94,-5.36,-8.01,1.53
자사주직접,181710,20210208,20210209,KOSPI,77.9,-1.44,-5.41,-5.27,0.34
자사주직접,004080,20210208,20210209,KOSPI,3.7,5.9,5.9,2.15,8.4
배당결정,114630,20210208,20210209,KOSDAQ,3.3,7.46,16.97,7.15,2.74
배당결정,149950,20210208,20210209,KOSDAQ,61.5,5.87,5.87,-8.66,-3.24
배당결정,238490,20210208,20210209,KOSDAQ,47.2,5.37,5.74,-3.45,0.59
배당결정,265740,20210208,20210209,KOSDAQ,376.2,4.17,-2.51,1.85,0.68
배당결정,277410,20210208,20210209,KOSDAQ,5.0,2.7,2.44,-0.96,7.92
배당결정,036480,20210208,20210209,KOSDAQ,162.4,0.56,-2.31,-7.27,8.92
배당결정,093190,20210208,20210209,KOSDAQ,1.9,4.8,-0.85,-2.42,7.1
배당결정,034950,20210208,20210209,KOSDAQ,8.9,-0.23,1.59,-0.34,-1.14
공급계약,020710,20210208,20210209,KOSDAQ,15.8,-0.65,-3.13,-3.31,42.51
배당결정,024060,20210208,20210209,KOSDAQ,16.4,1.55,-0.89,5.86,0.83
배당결정,032750,20210208,20210209,KOSDAQ,29.9,-2.44,-8.25,-12.51,-6.3
배당결정,079430,20210208,20210209,KOSPI,81.1,-4.22,-5.94,-6.8,8.72
배당결정,058850,20210208,20210209,KOSPI,83.0,34.11,13.15,20.69,24.89
배당결정,031430,20210208,20210209,KOSPI,151.3,0.42,2.29,4.43,11.12
배당결정,023530,20210208,20210209,KOSPI,260.1,-0.8,2.13,5.9,5.48
배당결정,015360,20210208,20210209,KOSPI,5.0,-3.75,-4.04,-4.04,-3.47
배당결정,082640,20210208,20210209,KOSPI,11.8,2.35,3.35,4.22,9.94
배당결정,013580,20210208,20210209,KOSPI,44.0,-2.81,-6.24,-5.59,12.25
배당결정,007070,20210208,20210209,KOSPI,131.7,-1.76,0.18,1.42,5.02
배당결정,005810,20210208,20210209,KOSPI,126.5,-0.38,-0.38,-8.64,-3.61
배당결정,005440,20210208,20210209,KOSPI,79.7,-0.92,1.65,7.97,5.86
배당결정,004170,20210208,20210209,KOSPI,350.8,7.38,11.46,16.76,14.11
배당결정,000070,20210208,20210209,KOSPI,63.7,-4.65,-7.43,-3.47,-2.4
배당결정,009180,20210208,20210209,KOSPI,83.5,17.62,9.36,15.86,13.58
배당결정,090460,20210208,20210209,KOSPI,370.0,-6.63,-12.16,-11.92,-14.08
배당결정,078930,20210208,20210209,KOSPI,153.6,0.13,0.63,0.76,-2.02
배당결정,097950,20210208,20210209,KOSPI,434.1,-1.28,-7.81,-8.6,-5.79
배당결정,013120,20210208,20210209,KOSDAQ,19.9,-3.87,-0.8,3.43,9.18
배당결정,008470,20210208,20210209,KOSDAQ,4.3,2.42,0.82,5.97,23.34
배당결정,336370,20210208,20210209,KOSPI,321.7,-3.25,-11.19,-14.07,-7.92
배당결정,234080,20210208,20210209,KOSPI,64.1,-1.82,-6.94,-10.28,-14.96
배당결정,214320,20210208,20210209,KOSPI,62.8,0.66,-0.81,-2.6,-0.32
배당결정,145990,20210208,20210209,KOSPI,49.7,-3.07,-9.28,-6.73,-10.07
공급계약,122640,20210208,20210209,KOSDAQ,155.2,-1.18,-9.92,4.07,2.32
공급계약,101670,20210208,20210209,KOSDAQ,12.8,-3.83,-6.48,-4.21,2.61
배당결정,093050,20210208,20210209,KOSPI,23.6,6.23,3.93,4.58,23.66
배당결정,096760,20210208,20210209,KOSPI,10.2,0.34,-5.02,-3.38,-7.94
공급계약,039610,20210208,20210209,KOSDAQ,5.5,1.3,-0.61,3.38,59.63
배당결정,117580,20210208,20210209,KOSPI,1.3,-1.95,-2.14,0.74,5.35
배당결정,103140,20210208,20210209,KOSPI,122.5,6.23,17.36,5.75,6.72
배당결정,102460,20210208,20210209,KOSPI,91.9,-4.16,-11.75,-16.66,-12.24
공급계약,074610,20210209,20210210,KOSPI,23.7,0.18,1.17,9.42,6.59
공급계약,032820,20210209,20210210,KOSDAQ,64.7,5.77,-4.31,7.79,12.22
공급계약,025860,20210209,20210210,KOSPI,76.6,-0.7,-4.41,-0.59,1.88
공급계약,326030,20210209,20210210,KOSPI,381.9,-0.05,-21.45,-27.47,-26.8
배당결정,313760,20210209,20210210,KOSDAQ,6.5,3.73,-2.4,-10.68,-8.23
배당결정,021650,20210209,20210210,KOSDAQ,21.5,-3.58,-9.09,-4.93,20.38
배당결정,072020,20210209,20210210,KOSDAQ,12.7,-1.18,-6.0,-6.9,12.37
배당결정,068790,20210209,20210210,KOSDAQ,61.6,2.46,-6.07,-7.86,-1.24
배당결정,065680,20210209,20210210,KOSDAQ,56.7,-22.15,-40.07,-30.54,-33.59
배당결정,063080,20210209,20210210,KOSDAQ,27.4,9.96,-3.45,14.97,33.13
배당결정,060370,20210209,20210210,KOSDAQ,24.9,3.7,-4.53,-2.34,11.37
배당결정,056190,20210209,20210210,KOSDAQ,131.0,11.67,3.69,0.26,3.45
배당결정,054090,20210209,20210210,KOSDAQ,153.5,15.05,5.7,5.84,4.78
배당결정,053800,20210209,20210210,KOSDAQ,240.1,7.29,6.07,-11.28,-13.95
배당결정,052260,20210209,20210210,KOSDAQ,214.1,-5.63,-11.77,-9.19,-9.98
배당결정,041910,20210209,20210210,KOSDAQ,15.5,2.68,-6.76,-6.76,1.82
배당결정,041460,20210209,20210210,KOSDAQ,38.4,6.48,11.33,19.15,21.19
배당결정,073110,20210209,20210210,KOSDAQ,37.0,-0.88,-10.12,-13.49,-8.44
배당결정,039340,20210209,20210210,KOSDAQ,8.4,-4.91,-11.1,12.71,14.34
배당결정,038390,20210209,20210210,KOSDAQ,14.0,-1.41,0.41,-3.23,-4.82
배당결정,036010,20210209,20210210,KOSDAQ,31.0,8.55,-8.18,-10.84,8.81
배당결정,032620,20210209,20210210,KOSDAQ,20.9,-0.41,-6.82,-9.97,-2.98
배당결정,021080,20210209,20210210,KOSDAQ,22.2,1.57,-5.79,14.46,163.74
배당결정,019210,20210209,20210210,KOSDAQ,9.8,-1.31,2.09,9.39,51.49
배당결정,017650,20210209,20210210,KOSDAQ,21.7,9.32,4.83,0.75,12.59
배당결정,007770,20210209,20210210,KOSDAQ,34.5,3.9,-2.18,33.47,58.25
배당결정,282330,20210209,20210210,KOSPI,120.5,-2.19,-4.6,4.74,-1.89
배당결정,229640,20210209,20210210,KOSPI,14.8,1.67,-3.43,1.67,7.17
배당결정,227840,20210209,20210210,KOSPI,40.9,1.36,1.36,1.77,21.36
배당결정,213500,20210209,20210210,KOSPI,20.5,-1.05,-3.28,-1.05,13.07
배당결정,038680,20210209,20210210,KOSDAQ,42.2,0.48,-6.89,-4.84,4.31
배당결정,078070,20210209,20210210,KOSDAQ,12.3,0.26,-13.76,-11.9,-14.58
배당결정,078340,20210209,20210210,KOSDAQ,270.4,-0.92,-13.98,-7.54,10.52
배당결정,332570,20210209,20210210,KOSDAQ,45.5,-0.06,-12.81,-8.7,-14.46
배당결정,332370,20210209,20210210,KOSDAQ,4.0,1.51,-3.35,-2.23,3.99
배당결정,318000,20210209,20210210,KOSDAQ,91.6,2.05,-3.89,-1.16,2.53
배당결정,300120,20210209,20210210,KOSDAQ,9.6,18.22,20.71,7.43,6.81
배당결정,298540,20210209,20210210,KOSDAQ,40.2,12.4,14.38,18.11,22.5
배당결정,285490,20210209,20210210,KOSDAQ,55.3,3.31,-2.33,-6.74,18.74
배당결정,264660,20210209,20210210,KOSDAQ,14.5,-0.82,-7.34,-10.08,-2.54
배당결정,264450,20210209,20210210,KOSDAQ,17.0,0.86,-6.39,-7.74,-4.8
배당결정,234690,20210209,20210210,KOSDAQ,30.0,-2.74,3.21,-10.92,-4.23
배당결정,207760,20210209,20210210,KOSDAQ,97.6,-6.03,-13.09,-11.57,-2.02
배당결정,179900,20210209,20210210,KOSDAQ,28.6,12.16,-1.17,8.69,2.89
배당결정,078020,20210209,20210210,KOSDAQ,20.8,-5.6,-9.65,-5.87,8.57
배당결정,155650,20210209,20210210,KOSDAQ,39.2,-4.88,-6.08,-8.68,-7.58
배당결정,144510,20210209,20210210,KOSDAQ,1173.0,-8.3,-12.7,-5.86,10.17
배당결정,131180,20210209,20210210,KOSDAQ,3.2,4.91,1.71,6.19,14.81
배당결정,119500,20210209,20210210,KOSDAQ,75.7,5.5,2.75,-0.68,13.74
배당결정,110790,20210209,20210210,KOSDAQ,3.8,-5.71,-4.75,-4.94,17.37
배당결정,103840,20210209,20210210,KOSDAQ,12.5,2.91,-2.78,11.25,12.67
배당결정,100120,20210209,20210210,KOSDAQ,46.6,-1.77,-6.67,1.05,7.59
배당결정,096240,20210209,20210210,KOSDAQ,14.6,0.92,-1.18,0.92,32.15
배당결정,094170,20210209,20210210,KOSDAQ,46.0,-1.31,-14.47,-11.4,-5.7
배당결정,092460,20210209,20210210,KOSDAQ,2.6,1.38,0.27,10.38,18.73
배당결정,083930,20210209,20210210,KOSDAQ,293.1,0.54,-9.32,-10.68,-13.07
배당결정,079000,20210209,20210210,KOSDAQ,16.1,-1.02,-2.12,-1.02,33.25
배당결정,148250,20210209,20210210,KOSDAQ,28.7,3.94,-6.26,-3.43,0.82
배당결정,139480,20210209,20210210,KOSPI,577.7,6.02,-2.12,3.69,-1.83
배당결정,210540,20210209,20210210,KOSPI,14.7,6.54,12.01,31.54,61.23
배당결정,123890,20210209,20210210,KOSPI,17.9,2.59,-1.14,2.33,27.53
배당결정,006110,20210209,20210210,KOSPI,50.8,-1.8,-9.25,-12.76,-15.57
배당결정,006040,20210209,20210210,KOSPI,0.6,6.13,-1.37,-0.22,-1.95
배당결정,005250,20210209,20210210,KOSPI,850.4,-7.9,-11.84,-19.23,-11.6
배당결정,126560,20210209,20210210,KOSPI,10.7,2.95,0.49,30.54,34.23
배당결정,004380,20210209,20210210,KOSPI,25.0,4.99,-1.49,1.75,6.2
배당결정,003690,20210209,20210210,KOSPI,28.7,-2.65,-1.78,7.54,7.54
배당결정,001230,20210209,20210210,KOSPI,69.7,2.27,8.73,28.31,120.63
배당결정,001060,20210209,20210210,KOSPI,46.8,-2.47,-5.73,-4.59,-2.3
배당결정,000990,20210209,20210210,KOSPI,1417.9,-2.0,-8.82,-15.32,-11.09
배당결정,000970,20210209,20210210,KOSPI,7.9,-0.7,1.44,1.79,10.71
배당결정,000500,20210209,20210210,KOSPI,5.2,-2.09,-7.52,-6.16,21.44
배당결정,000430,20210209,20210210,KOSPI,156.4,-4.19,-4.77,-6.15,0.31
배당결정,000150,20210209,20210210,KOSPI,132.7,-3.08,-10.32,-5.21,-4.82
자사주신탁,115310,20210209,20210210,KOSDAQ,0.6,0.0,-4.44,-2.71,5.68
자사주신탁,056190,20210209,20210210,KOSDAQ,131.0,11.67,3.69,0.26,3.45
자사주신탁,039340,20210209,20210210,KOSDAQ,8.4,-4.91,-11.1,12.71,14.34
자사주신탁,033560,20210209,20210210,KOSDAQ,8.1,6.78,27.41,34.35,28.73
무상증자,060380,20210209,20210210,KOSDAQ,10.4,-9.06,-15.5,-4.77,9.29
배당결정,006280,20210209,20210210,KOSPI,1774.4,-9.76,-12.76,-23.07,-21.68
배당결정,006260,20210209,20210210,KOSPI,223.2,-4.09,-4.23,-10.56,-10.01
배당결정,009140,20210209,20210210,KOSPI,8.2,-9.61,-15.47,-20.32,-12.32
배당결정,095720,20210209,20210210,KOSPI,10.1,-2.34,-7.47,8.84,64.15
배당결정,078000,20210209,20210210,KOSPI,2.7,-0.32,-3.77,-3.34,0.54
배당결정,058860,20210209,20210210,KOSPI,24.8,8.44,-3.85,5.47,13.1
배당결정,036580,20210209,20210210,KOSPI,31.1,-5.99,-21.03,-10.41,-15.06
배당결정,027410,20210209,20210210,KOSPI,157.8,-7.8,-15.37,0.7,10.13
배당결정,030200,20210209,20210210,KOSPI,423.8,9.52,6.84,11.17,14.47
배당결정,018670,20210209,20210210,KOSPI,28.1,-3.57,-9.54,-6.35,1.81
배당결정,018880,20210209,20210210,KOSPI,312.1,-6.85,-17.09,-7.66,-3.35
배당결정,016880,20210209,20210210,KOSPI,1.7,1.26,4.67,73.45,226.14
배당결정,014820,20210209,20210210,KOSPI,164.1,-4.35,-13.85,-13.16,-16.79
배당결정,013570,20210209,20210210,KOSPI,77.6,9.66,4.5,4.15,3.61
배당결정,011760,20210209,20210210,KOSPI,18.7,-1.75,-0.3,4.05,12.45
배당결정,010120,20210209,20210210,KOSPI,147.6,-4.61,-10.25,-4.14,-4.93
배당결정,009450,20210209,20210210,KOSPI,33.1,7.52,3.01,2.39,4.65
배당결정,009440,20210209,20210210,KOSPI,10.7,0.63,-14.1,-12.89,-1.38
배당결정,026940,20210209,20210210,KOSPI,6.5,1.96,1.45,1.33,17.01
배당결정,016800,20210210,20210215,KOSPI,0.5,-1.51,-1.51,-1.85,-1.18
배당결정,344820,20210210,20210215,KOSPI,54.3,5.45,5.11,1.23,21.07
배당결정,017940,20210210,20210215,KOSPI,7.4,-1.18,-3.73,-2.03,11.44
배당결정,019170,20210210,20210215,KOSPI,1761.2,4.14,13.82,37.81,12.81
배당결정,004650,20210210,20210215,KOSDAQ,5.3,-1.87,-1.48,-1.09,5.47
배당결정,272550,20210210,20210215,KOSPI,6.5,4.62,5.1,13.8,22.97
배당결정,028670,20210210,20210215,KOSPI,177.3,16.12,14.28,24.47,24.67
배당결정,085620,20210210,20210215,KOSPI,7.0,4.63,3.21,7.73,3.21
배당결정,077500,20210210,20210215,KOSPI,84.1,-3.13,-14.87,-16.77,-10.71
배당결정,069260,20210210,20210215,KOSPI,56.3,5.84,-0.7,1.48,-3.97
배당결정,015890,20210210,20210215,KOSPI,3.6,1.16,0.26,3.5,29.63
배당결정,024070,20210210,20210215,KOSPI,93.0,-2.82,-10.35,-7.36,11.47
배당결정,251270,20210210,20210215,KOSPI,884.4,-9.34,-11.85,-12.92,-1.1
배당결정,016090,20210210,20210215,KOSPI,25.8,5.13,-2.54,-1.61,18.39
배당결정,001450,20210210,20210215,KOSPI,121.2,2.73,6.32,13.5,10.62
공급계약,348210,20210210,20210215,KOSDAQ,99.9,1.85,18.19,5.26,6.3
배당결정,014440,20210210,20210215,KOSPI,18.2,3.43,-6.62,-4.35,3.9
자사주직접,001450,20210210,20210215,KOSPI,121.2,2.73,6.32,13.5,10.62
자사주신탁,123420,20210210,20210215,KOSDAQ,33.5,-5.4,-10.7,-8.54,-9.33
배당결정,002390,20210210,20210215,KOSPI,20.0,-1.52,-6.56,-6.9,-3.37
배당결정,002380,20210210,20210215,KOSPI,113.8,-4.07,-7.75,-4.99,26.12
배당결정,003480,20210210,20210215,KOSPI,4.4,-1.82,-7.41,-2.83,3.14
배당결정,005830,20210210,20210215,KOSPI,102.7,2.81,7.03,13.67,14.05
자사주직접,085620,20210210,20210215,KOSPI,7.0,4.63,3.21,7.73,3.21
배당결정,009780,20210210,20210215,KOSDAQ,5.1,4.3,-3.27,-3.67,0.31
배당결정,134790,20210210,20210215,KOSPI,6.0,-3.3,-10.57,-7.24,-5.57
배당결정,016790,20210210,20210215,KOSDAQ,0.5,5.82,-2.96,7.3,27.14
배당결정,101240,20210210,20210215,KOSDAQ,6.3,-7.21,-7.44,-1.71,-4.93
배당결정,112040,20210210,20210215,KOSDAQ,97.8,-8.92,-11.19,-3.5,30.17
배당결정,131970,20210210,20210215,KOSDAQ,228.1,-0.29,-7.3,-5.84,-6.04
배당결정,140860,20210210,20210215,KOSDAQ,50.9,3.96,10.24,15.61,25.34
배당결정,160980,20210210,20210215,KOSDAQ,60.6,0.73,-5.84,-0.68,19.27
배당결정,214370,20210210,20210215,KOSDAQ,24.0,-5.08,-4.8,-7.04,-4.8
배당결정,101170,20210210,20210215,KOSDAQ,12.1,-1.49,-10.16,-6.92,-5.98
배당결정,237880,20210210,20210215,KOSDAQ,31.2,-3.87,-10.33,-2.12,12.55
배당결정,265560,20210210,20210215,KOSDAQ,39.3,-4.59,-13.98,-13.4,-20.64
배당결정,270870,20210210,20210215,KOSDAQ,39.2,4.48,2.69,0.91,15.37
배당결정,277070,20210210,20210215,KOSDAQ,2.4,0.56,-7.04,6.67,32.59
배당결정,318010,20210210,20210215,KOSDAQ,3.1,1.3,-8.42,-6.57,-5.65
배당결정,950190,20210210,20210215,KOSDAQ,10.9,-1.38,-5.02,-4.21,-1.18
배당결정,011040,20210210,20210215,KOSDAQ,10.8,0.25,-1.89,-0.37,6.76
배당결정,253590,20210210,20210215,KOSDAQ,15.8,5.42,-5.76,-5.9,-2.8
배당결정,092130,20210210,20210215,KOSDAQ,2.5,-3.96,-6.43,-5.98,-2.38
배당결정,212560,20210210,20210215,KOSDAQ,23.0,2.77,-2.98,39.83,62.3
배당결정,079370,20210210,20210215,KOSDAQ,67.7,8.26,18.31,5.47,6.95
배당결정,023910,20210210,20210215,KOSDAQ,21.3,2.68,8.56,8.25,30.39
배당결정,088130,20210210,20210215,KOSDAQ,12.7,1.26,-3.84,0.82,2.93
배당결정,039440,20210210,20210215,KOSDAQ,87.2,-1.2,-2.76,-1.46,1.14
배당결정,040420,20210210,20210215,KOSDAQ,3.7,-0.33,0.17,1.81,7.25
배당결정,044340,20210210,20210215,KOSDAQ,56.4,0.27,-6.95,-6.0,-8.47
배당결정,044960,20210210,20210215,KOSDAQ,30.6,-1.84,-8.31,-8.78,-2.08
배당결정,053160,20210210,20210215,KOSDAQ,59.5,-2.37,-1.8,-13.04,58.31
배당결정,054540,20210210,20210215,KOSDAQ,6.7,-6.87,-15.05,-6.13,-0.18
배당결정,036690,20210210,20210215,KOSDAQ,51.5,-9.53,-1.93,-7.16,0.77
배당결정,058400,20210210,20210215,KOSDAQ,53.4,3.76,-4.14,-15.49,6.73
배당결정,060850,20210210,20210215,KOSDAQ,16.2,-4.58,-10.02,-9.68,-4.92
배당결정,066670,20210210,20210215,KOSDAQ,8.5,-0.81,-5.04,-11.48,13.63
배당결정,067080,20210210,20210215,KOSDAQ,23.1,-5.99,-12.19,-10.0,-7.81
배당결정,072950,20210210,20210215,KOSDAQ,72.8,-3.57,-9.1,-7.85,-0.13
배당결정,065350,20210215,20210216,KOSDAQ,199.8,-8.94,-15.38,-16.15,-3.36
배당결정,065570,20210215,20210216,KOSDAQ,62.2,-9.87,-17.5,-24.11,-8.98
배당결정,102710,20210215,20210216,KOSDAQ,261.8,-10.02,-13.23,-13.73,-14.64
배당결정,108230,20210215,20210216,KOSDAQ,106.1,-2.69,-7.83,-9.3,-3.05
배당결정,136540,20210215,20210216,KOSDAQ,18.7,-0.9,-7.15,-5.16,1.09
배당결정,137940,20210215,20210216,KOSDAQ,10.0,-6.62,-14.49,-11.41,-4.56
배당결정,170790,20210215,20210216,KOSDAQ,7.8,-5.62,-11.14,-11.48,-4.24
배당결정,224110,20210215,20210216,KOSDAQ,58.7,0.24,-0.91,13.41,80.38
배당결정,307930,20210215,20210216,KOSDAQ,67.4,-4.66,-4.13,49.39,60.67
배당결정,306040,20210215,20210216,KOSDAQ,28.2,10.6,9.58,13.66,23.61
배당결정,054800,20210215,20210216,KOSDAQ,2.1,-5.84,-8.75,-9.48,-4.39
배당결정,347890,20210215,20210216,KOSDAQ,11.3,20.84,15.8,12.62,10.51
공급계약,003380,20210215,20210216,KOSDAQ,29.9,8.99,3.88,5.3,11.72
공급계약,178920,20210215,20210216,KOSPI,168.1,-1.26,-3.9,-2.91,-1.26
무상증자,006620,20210215,20210216,KOSDAQ,24.1,12.65,5.82,1.87,-9.55
무상증자,241520,20210215,20210216,KOSDAQ,50.1,-3.04,-0.12,29.69,54.38
배당결정,250930,20210215,20210216,KOSDAQ,59.0,-3.84,-7.37,-8.67,-0.87
배당결정,053290,20210215,20210216,KOSDAQ,36.0,-1.49,3.38,124.08,503.38
배당결정,049430,20210215,20210216,KOSDAQ,7.7,-2.03,-3.69,-0.49,19.51
배당결정,005800,20210215,20210216,KOSPI,0.9,-7.19,-7.6,-4.65,7.89
배당결정,000700,20210215,20210216,KOSPI,1.4,0.92,-1.35,-5.38,28.54
배당결정,051490,20210215,20210216,KOSDAQ,97.5,-7.29,-15.56,-20.76,-14.73
공급계약,000720,20210215,20210216,KOSPI,586.9,-3.17,-6.88,-1.19,6.82
배당결정,033920,20210215,20210216,KOSPI,6.3,0.95,-3.45,-3.03,12.46
배당결정,122900,20210215,20210216,KOSPI,13.3,-2.77,-3.88,-2.21,3.68
배당결정,210980,20210215,20210216,KOSPI,53.2,-9.07,-13.61,-13.37,-13.96
배당결정,006140,20210215,20210216,KOSDAQ,6.9,-4.71,-6.19,13.19,12.25
배당결정,024120,20210215,20210216,KOSDAQ,86.8,-9.49,-13.1,-13.1,-12.57
배당결정,033160,20210215,20210216,KOSDAQ,63.2,1.03,-1.11,-8.8,1.88
배당결정,036810,20210215,20210216,KOSDAQ,205.7,1.48,-5.29,-8.89,-14.14
배당결정,040910,20210215,20210216,KOSDAQ,79.3,1.27,-3.19,-11.26,-5.69
배당결정,042600,20210215,20210216,KOSDAQ,47.5,-19.41,-22.12,-22.89,0.66
배당결정,081660,20210215,20210216,KOSPI,173.4,-4.87,-3.95,-0.73,-1.76
배당결정,290270,20210216,20210217,KOSDAQ,6.3,-3.71,-5.94,6.92,7.78
배당결정,319660,20210216,20210217,KOSDAQ,129.8,-10.12,-10.25,-7.9,10.03
공급계약,013870,20210216,20210217,KOSPI,74.9,-7.82,-11.1,-14.15,-11.78
무상증자,002720,20210216,20210217,KOSPI,33.6,-7.85,-9.12,-8.57,-11.71
공급계약,242040,20210216,20210217,KOSDAQ,12.7,-7.27,-5.67,-7.43,-6.47
무상증자,122450,20210216,20210217,KOSDAQ,34.6,-11.55,0.45,23.12,0.01
무상증자,065370,20210216,20210217,KOSDAQ,10.2,-21.97,-14.29,-16.06,-21.66
배당결정,144960,20210216,20210217,KOSDAQ,26.0,-9.86,-9.11,-8.96,-3.72
배당결정,142210,20210216,20210217,KOSDAQ,36.4,-11.36,-9.31,-5.58,-10.76
배당결정,024890,20210216,20210217,KOSPI,5.5,-6.23,-3.04,40.04,42.7
배당결정,065510,20210216,20210217,KOSDAQ,8.9,-5.23,-2.36,-0.48,12.39
배당결정,002600,20210216,20210217,KOSPI,0.2,-4.0,-2.87,-4.57,4.47
배당결정,004150,20210216,20210217,KOSPI,8.0,-5.56,-6.76,-2.24,9.58
배당결정,007590,20210216,20210217,KOSPI,6.1,-1.63,-1.03,3.02,9.01
배당결정,012610,20210216,20210217,KOSPI,43.1,-9.81,-9.67,-7.66,-6.72
배당결정,021240,20210216,20210217,KOSPI,205.2,-8.14,-9.94,-7.31,-7.58
배당결정,024090,20210216,20210217,KOSPI,1.5,0.45,2.07,18.74,65.49
배당결정,035150,20210216,20210217,KOSPI,16.2,-0.12,10.74,31.38,34.9
배당결정,078890,20210216,20210217,KOSDAQ,427.3,-5.68,-6.42,-9.76,-6.79
배당결정,031980,20210216,20210217,KOSDAQ,2.3,-7.79,-10.38,-12.07,17.33
배당결정,032280,20210216,20210217,KOSDAQ,6.1,-7.1,-0.58,-3.28,7.73
배당결정,017890,20210216,20210217,KOSDAQ,49.2,-5.44,0.26,-1.64,8.63
배당결정,035080,20210216,20210217,KOSDAQ,1267.8,-0.88,4.38,4.38,-17.18
배당결정,045660,20210216,20210217,KOSDAQ,80.8,-6.9,4.74,2.35,22.92
배당결정,037070,20210216,20210217,KOSDAQ,27.0,0.41,7.14,46.57,60.03
배당결정,267290,20210217,20210218,KOSPI,3.0,-0.91,1.25,1.78,13.11
배당결정,101160,20210217,20210218,KOSDAQ,61.4,12.72,17.1,19.42,37.72
배당결정,138070,20210217,20210218,KOSDAQ,11.7,-8.92,-14.28,-12.65,24.38
배당결정,206640,20210217,20210218,KOSDAQ,49.1,-13.83,-14.35,-7.1,29.43
공급계약,065450,20210217,20210218,KOSDAQ,278.5,-5.01,-3.36,0.89,4.6
배당결정,032300,20210217,20210218,KOSDAQ,1491.8,14.18,-2.92,-9.64,2.98
