date,ticker,name,open,high,low,close,volume,frgn,grp,srd,KP5,KP20,KP60,KPok,KQ5,KQ20,KQ60,KQok,vm1,vm3,a40,a240,r16,rw1,su1,amt,amt20,fw5,fw60,ret3,ret10,ret20,ret60,gap,y,dil,cost,buy,f10,f20,f10t,up,sret60,r,F
20260429,009520,포스코엠텍,21250,21550,20750,21150,394253.0,35280.0,생존,True,True,True,True,True,True,True,True,True,394253.0,1335828.0,280400.075,610474.9625,45.93146193116806,476.40072849481226,0.8472204986045412,51.5462191375,94.91009561,5.056810398500551,3.24897259704702,5.486284289276799,15.258855585831066,17.500000000000004,2.669902912621369,-0.47281323877068626,2026,False,0.6799999999999999,21050.0,-14.014251781472687,-22.23277909738718,-14.014251781472687,1차 철강 제조업,17.599050596133992,-14.694251781472687,P1형 상승초입
20260112,014620,성광벤드,28700,30450,27900,29700,499824.0,-4693.0,생존,True,True,True,True,True,True,True,True,True,499824.0,355125.0,153390.775,587683.675,26.100907941674574,231.5165302476632,3.570649640576863,41.8308251375,42.10975405,5.791043684883934,10.002911515477548,15.56420233463034,9.594095940959413,12.075471698113205,-8.615384615384613,-1.5151515151515138,2026,False,0.8799999999999999,29250.0,3.7606837606837695,10.598290598290605,3.7606837606837695,1차 철강 제조업,-11.728390289852975,2.8806837606837696,P1형 상승초입
20250730,014940,오리엔탈정공,6010,6090,5870,5960,504929.0,62025.0,생존,True,True,True,True,True,False,True,True,True,504929.0,764439.3333333334,378848.225,1192713.2666666666,31.76356259193674,201.77983764694517,1.544111688306128,21.795571515,18.530908845,9.888199122166935,1.6396529713228878,6.428571428571428,12.665406427221182,6.618962432915931,8.166969147005453,2.684563758389258,2025,False,1.18,6120.0,21.73202614379084,13.888888888888884,20.0,일반 목적용 기계 제조업,3.2093844262109137,18.82,P1형 상승초입
20250731,014940,오리엔탈정공,6120,6200,5900,6010,964199.0,-22269.0,생존,True,True,True,True,True,True,True,True,True,964199.0,815392.0,365381.8,1197666.6916666667,30.507803426639224,223.16163530860047,2.8877540920000118,20.856542255,20.42971934,7.610241634926843,1.6132726232761845,5.069930069930062,11.710037174721188,9.272727272727277,9.872029250457048,2.9950083194675514,2025,False,0.8799999999999999,6190.0,10.9854604200323,20.840064620355413,20.0,일반 목적용 기계 제조업,4.5425806300026235,19.12,P1형 상승초입
20220531,015750,성우하이텍,5020,5400,5020,5380,3440198.0,10158.0,생존,True,True,True,True,True,True,True,False,True,3440198.0,1300283.6666666667,415340.675,833581.6416666667,49.82603433654874,313.06436978912956,7.452157573301236,20.3170818475,30.945785095,8.816344194827419,-4.263944787200949,9.460834181078326,8.796764408493418,10.245901639344268,10.358974358974349,0.3717472118959009,2022,False,0.8799999999999999,5400.0,-14.814814814814813,-19.259259259259252,-14.814814814814813,자동차 신품 부품 제조업,4.97067459029507,-15.694814814814812,P1형 상승초입
20220602,015750,성우하이텍,5400,5500,5350,5460,1070907.0,37404.0,생존,True,True,True,False,True,True,True,False,True,1070907.0,1600062.3333333333,415342.825,831333.2541666667,49.96105026694043,385.2389488932024,1.7294550233605714,20.3141865325,33.13327913,5.416397435443516,-3.995647653032301,11.088504577822999,9.30930930930931,12.577319587628866,17.67241379310345,0.9157509157509125,2022,False,0.8799999999999999,5510.0,-16.333938294010885,-21.778584392014523,-16.333938294010885,자동차 신품 부품 제조업,8.284146114174554,-17.213938294010884,P1형 상승초입
20250806,017510,세명전기,7770,8470,7700,8150,3892203.0,257652.0,생존,True,True,True,True,True,True,False,True,True,3892203.0,1931626.3333333333,830532.225,2201809.925,37.72043243015176,232.57692780473792,10.004797785487193,65.476038875,44.097144565,9.321394379321637,0.7008696958784932,14.627285513361453,13.98601398601398,8.090185676392569,11.491108071135425,1.2269938650306678,2025,False,0.8799999999999999,8250.0,48.84848484848485,15.393939393939405,20.0,기타 금속 가공제품 제조업,15.015241338676914,19.12,P1형 상승초입
20260429,019990,에너토크,10230,10950,10040,10590,594079.0,71142.0,생존,True,True,True,True,True,True,True,True,True,594079.0,501368.6666666667,234587.25,801793.85,29.25780111683321,213.72374955018515,2.844746800923414,21.107552135,22.235542285,5.999831485945788,2.222955916950516,8.615384615384624,15.991237677984671,17.797552836484986,22.28637413394918,-0.8498583569405138,2026,False,0.8799999999999999,10500.0,-24.09523809523809,-35.14285714285714,-24.09523809523809,일반 목적용 기계 제조업,5.429739780844086,-24.97523809523809,P1형 상승초입
20260504,019990,에너토크,10700,11645,10580,10970,945014.0,15802.0,생존,True,True,True,True,True,True,True,True,True,945014.0,602057.0,242719.95,803875.475,30.19372496716609,248.04594760340052,3.9525541591232902,22.1200111925,27.810652245,6.48999078859494,2.366646263363013,7.233626588465292,19.629225736095957,25.228310502283115,35.09852216748768,1.731996353691878,2026,False,0.8799999999999999,11160.0,-29.659498207885303,-41.397849462365585,-29.659498207885303,일반 목적용 기계 제조업,9.816927296266908,-30.539498207885302,P1형 상승초입
20260507,019990,에너토크,11230,11860,10790,10870,659757.0,15097.0,생존,True,True,True,True,True,False,True,True,True,659757.0,708816.3333333334,248280.325,806258.7041666667,30.794126465477074,285.4903357055511,2.166187768318375,23.1770074225,33.471327085,4.281153538987404,2.3221796246381343,5.431619786614927,19.977924944812365,30.963855421686738,24.655963302752305,0.0,2026,False,0.8799999999999999,10870.0,-27.874885004599815,-47.56209751609936,-27.874885004599815,일반 목적용 기계 제조업,4.745075354342389,-28.754885004599814,P1형 상승초입
