date,ticker,name,ret3,ret10,ret20,fw5,fw60,amt20,r
20220616,054780,키이스트,-10.259301014656142,-21.188118811881186,-22.341463414634145,7.121151522898103,-0.559469148377445,7.820722865,-7.938148631029991
20220927,054780,키이스트,-14.005235602094245,-20.07299270072993,-21.599045346062052,5.123237855251052,-1.932185312987339,3.313894785,-15.302291021671827
20220928,054780,키이스트,-17.421124828532232,-25.495049504950494,-25.587144622991342,4.508844524470371,-0.8767817565698574,3.873178455,-7.208455284552846
20220929,054780,키이스트,-9.224011713030745,-22.596754057428214,-24.665856622114212,11.0845673121325,0.47944816853231315,4.11094489,-5.513333333333333
20220908,059090,미코,-7.768187422934647,-13.52601156069364,-15.955056179775283,9.698658497685923,2.776119563365967,8.23722809,-15.85218543046358
20220913,059090,미코,-5.696969696969701,-10.779816513761464,-14.317180616740089,19.172662839895438,3.839400958931304,8.56094049,-15.642765957446809
20240730,060250,NHN KCP,-8.719646799116997,-12.579281183932345,-9.020902090209027,5.635990991365592,1.1839490074288728,15.140209705,-10.7673786407767
20240731,060250,NHN KCP,-8.729281767955799,-12.034078807241745,-7.8125,13.998147405676681,1.9638519296638683,16.052286045,-9.311067961165051
20240801,060250,NHN KCP,-5.875706214689269,-10.14023732470335,-7.649667405764971,3.8154599128219315,1.4147889036850643,21.52921,-10.710097087378642
20240805,060250,NHN KCP,-12.590799031476996,-21.006564551422326,-20.92004381161008,4.777781929292604,2.450735067240113,24.74415084,4.6910306406685285
20240806,060250,NHN KCP,-8.523409363745493,-15.986769570011027,-16.721311475409838,9.666835740409514,4.713632519045021,25.96115391,0.45511348464618884
20240807,060250,NHN KCP,-6.939281288723665,-17.016574585635357,-18.45819761129207,4.805590513664778,4.50244402422541,26.1704099,1.8227027027026974
20220921,060590,씨티씨바이오,-8.18639798488665,-4.204993429697767,-9.777227722772274,2.1233842809905887,-1.0357490180551316,4.629574595,-8.695130674002757
20220922,060590,씨티씨바이오,-7.810499359795131,-5.263157894736848,-10.447761194029848,3.5893139201600475,-1.0610836017253682,4.682315615,-5.19123595505618
20240805,061970,LB세미콘,-22.27290003800836,-23.10584696371498,-31.27205511678709,9.37567000170496,0.6246518309801875,9.1175138555,23.037974429681622
20240806,061970,LB세미콘,-16.29823904083927,-15.856873822975516,-26.561472715318867,11.11751826935789,1.3577224393599856,9.8698184075,12.608996094647377
20240807,061970,LB세미콘,-11.887694145758665,-16.209051316038625,-26.702004306774885,6.677522743930465,1.399783476667494,10.029677239,9.57978161965423
20241114,064290,인텍플러스,-13.601368691189053,-21.216848673946952,-33.0238726790451,20.660801082877008,1.9841363253506155,8.476757085,-6.3988755020080355
20221227,064550,바이오니아,-12.850812407680944,-13.868613138686136,-12.979351032448383,6.46386283711026,5.832321044102915,110.15791815,-2.1749152542372836
20250819,064800,포니링크,-5.71715145436309,-10.646387832699622,-16.814159292035402,91.44728726884837,21.758444146793142,3.9560839225,1.5388841201716834
20220623,069410,엔텔스,-12.829525483304039,-33.60107095046854,-34.73684210526316,14.338433862300429,-2.0480757906499667,2.94328422,13.980184237461629
20220624,069410,엔텔스,-8.20512820512821,-26.83923705722071,-29.712041884816752,15.108378078859092,-1.624778217563455,3.181346515,-0.058378378378372675
20220617,071200,인피니트헬스케어,-7.424015944195316,-17.311971517578996,-17.311971517578996,6.947846089338407,1.4454900778855455,2.7535312735,-12.87606772255598
20220928,071200,인피니트헬스케어,-7.820000000000005,-18.062222222222225,-17.163910855499644,6.556188788734901,0.5822536406784633,2.3788747905000003,-6.045591397849466
20230727,074430,아미노로직스,-5.241935483870963,-9.03225806451613,-10.872313527180788,2.2214371019705252,-5.301790378409536,2.790009497,9.709684813753576
20240806,078890,가온그룹,-13.610586011342152,-15.439967105263152,-17.674139311449157,7.352482652886143,-0.38565244420856165,3.460318791,8.44465021622997
20240805,083310,엘오티베큠,-19.685039370078737,-22.43346007604563,-32.49503639973528,2.923553217275213,3.6628126118383446,15.03422032,16.23293532338308
20240806,083310,엘오티베큠,-15.858352578906853,-15.923076923076918,-27.759418374091204,7.017798444714058,4.268588563544434,16.21989115,7.354322820037099
20240807,083310,엘오티베큠,-10.743801652892559,-17.557251908396942,-28.047968021319125,4.053273739058154,4.109117423503478,16.63577513,4.829389671361509
