b,ticker,entry,market,amt20,reprt,r5,r10,r20,r40
적자지속,117670,20220324,KOSDAQ,49.6,11011,15.77,6.16,5.59,3.0
적자지속,044480,20220324,KOSDAQ,12.3,11011,-4.02,-7.4,-21.07,-43.54
+50%↑,008600,20220324,KOSPI,9.5,11011,4.66,2.84,-2.64,-13.59
흑자전환,159910,20220324,KOSDAQ,0.0,11011,-1.48,4.06,-19.92,-28.38
+0~50,024840,20220324,KOSDAQ,11.2,11011,3.65,-2.87,0.75,12.59
적자전환,037230,20220324,KOSDAQ,3.7,11011,8.42,-1.23,4.09,0.01
적자지속,006050,20220325,KOSDAQ,14.3,11011,-2.21,-8.36,-6.56,-14.26
적자지속,001210,20220325,KOSPI,2.5,11011,-0.48,4.21,3.04,18.73
+50%↑,003650,20220325,KOSPI,5.1,11011,-1.78,-1.9,-4.04,-4.64
적자지속,033530,20220325,KOSPI,6.5,11011,4.79,3.26,3.26,1.88
+50%↑,047560,20220325,KOSDAQ,35.3,11011,-3.54,-8.52,-11.84,-25.13
+50%↑,080220,20220325,KOSDAQ,39.0,11011,2.84,0.89,3.02,1.42
적자전환,210120,20220328,KOSDAQ,0.9,11011,7.62,9.74,5.21,-1.2
-0~50,013520,20220328,KOSPI,2.2,11011,4.03,-0.91,-4.19,-8.03
적자전환,196170,20220328,KOSDAQ,110.9,11011,-3.94,-10.34,-7.74,-7.57
흑자전환,006200,20220329,KOSPI,6.0,11011,2.85,-1.72,-2.26,-8.17
적자지속,079970,20220329,KOSDAQ,25.3,11011,12.03,-0.55,9.05,-28.03
+50%↑,031820,20220329,KOSPI,12.1,11011,7.14,5.6,0.77,-7.98
적자지속,128540,20220330,KOSDAQ,50.5,11011,-4.52,-5.2,-15.55,30.42
흑자전환,004270,20220330,KOSPI,5.5,11011,-0.37,-4.11,-2.97,-5.25
흑자전환,112040,20220331,KOSDAQ,616.3,11011,-0.38,-12.7,-24.13,-22.65
적자지속,215380,20220401,KOSDAQ,1.5,11011,-5.82,-9.03,-5.63,-8.74
적자지속,017370,20220401,KOSPI,3.8,11011,-6.65,-3.48,-8.95,-13.27
적자전환,115530,20220401,KOSDAQ,0.0,11011,-1.48,-1.48,-12.6,-17.1
적자전환,007460,20220401,KOSPI,65.8,11011,5.82,11.79,3.18,13.11
+50%↑,124500,20220401,KOSDAQ,46.5,11011,-1.65,1.81,-1.07,-7.03
흑자전환,014910,20220401,KOSPI,4.2,11011,-0.37,-2.39,-6.84,-6.43
적자지속,078520,20220418,KOSPI,5.0,11011,-1.6,4.85,-1.32,-13.38
+50%↑,900070,20220419,KOSDAQ,2.4,11011,-3.65,-4.01,-10.65,3.47
+0~50,900340,20220419,KOSDAQ,15.2,11011,43.08,24.72,9.26,20.05
흑자전환,900100,20220421,KOSDAQ,0.0,11011,-1.48,-1.48,-1.48,-1.48
적자전환,900140,20220427,KOSPI,12.6,11011,2.51,0.06,-0.37,-13.7
+50%↑,101330,20220429,KOSDAQ,9.7,11011,-2.46,-1.9,-1.34,-19.15
적자지속,900260,20220502,KOSDAQ,167.9,11011,0.69,-6.33,-4.93,-28.11
-50%↓,900250,20220502,KOSDAQ,8.8,11011,-8.13,-8.13,-3.96,-22.64
+50%↑,900110,20220502,KOSDAQ,162.3,11011,-8.44,-11.63,-0.48,-27.55
적자지속,052020,20220503,KOSDAQ,5.6,11013,8.63,-11.09,7.53,8.45
적자지속,002420,20220511,KOSPI,2.5,11013,-1.65,-10.65,-6.05,-17.4
흑자전환,012860,20220511,KOSDAQ,19.3,11011,3.68,-1.99,-1.45,-25.77
+50%↑,055490,20220511,KOSPI,17.9,11013,-3.8,-4.89,-7.45,-17.43
적자지속,094850,20220512,KOSDAQ,17.1,11013,-2.38,-3.17,-4.77,-27.63
+50%↑,143240,20220512,KOSDAQ,35.4,11013,-0.88,-1.11,-10.37,-28.56
-0~50,003570,20220512,KOSPI,16.2,11013,-2.44,-8.46,-1.66,-24.63
-50%↓,024950,20220512,KOSDAQ,17.6,11013,-4.2,-2.08,1.17,-16.64
적자전환,100840,20220512,KOSPI,64.5,11013,-0.47,-1.26,-6.53,-15.22
-0~50,036530,20220512,KOSPI,8.7,11013,-3.26,-3.56,-5.05,-9.81
-0~50,064960,20220512,KOSPI,41.0,11013,-1.7,-0.34,-0.11,-8.36
흑자전환,049520,20220513,KOSDAQ,0.6,11013,2.05,0.42,33.03,16.93
+0~50,054670,20220513,KOSDAQ,45.0,11013,-0.03,9.8,-3.02,-14.98
+0~50,014680,20220513,KOSPI,167.4,11013,15.22,8.59,2.18,-10.85
+50%↑,122310,20220513,KOSDAQ,10.0,11013,-1.38,-1.18,-9.14,-19.83
-0~50,095610,20220513,KOSDAQ,36.6,11013,0.99,-5.18,-15.27,-30.79
-0~50,045100,20220513,KOSDAQ,12.5,11013,1.64,1.01,0.39,-18.42
+0~50,084370,20220513,KOSDAQ,52.4,11013,4.6,-2.15,-13.69,-30.74
적자전환,066430,20220513,KOSDAQ,7.7,11013,-3.01,-2.45,-8.08,-25.41
+0~50,200780,20220513,KOSDAQ,2.8,11013,-0.63,1.94,-7.89,-6.6
-0~50,263810,20220513,KOSDAQ,24.8,11013,-0.51,-1.0,-13.0,-21.08
-0~50,169330,20220513,KOSDAQ,7.5,11013,2.72,4.88,-1.61,-13.44
+50%↑,016250,20220516,KOSDAQ,3.5,11013,-2.62,-4.7,-19.03,-17.32
+50%↑,025880,20220516,KOSDAQ,381.2,11013,13.87,14.76,-12.6,-20.5
적자전환,005860,20220516,KOSDAQ,1989.0,11013,-0.85,16.33,12.6,-15.8
+0~50,058400,20220516,KOSDAQ,6.7,11013,0.13,1.33,-14.73,-21.72
-0~50,065370,20220516,KOSDAQ,5.7,11013,1.77,4.21,-9.2,-8.39
-0~50,298020,20220516,KOSPI,102.7,11013,-0.25,11.2,0.15,-17.69
흑자전환,037950,20220516,KOSDAQ,16.5,11013,6.69,2.57,-9.42,-17.28
+0~50,048530,20220516,KOSDAQ,40.7,11013,2.54,2.54,-13.3,-33.49
+50%↑,093190,20220516,KOSDAQ,7.6,11013,-6.91,-3.19,-10.48,-16.48
적자지속,078000,20220516,KOSPI,0.4,11013,-3.54,-2.6,-9.48,-11.93
-0~50,100130,20220516,KOSDAQ,17.6,11013,0.18,5.25,6.23,4.47
+50%↑,005300,20220516,KOSPI,89.5,11013,-2.61,3.79,-6.61,-6.08
-50%↓,122990,20220516,KOSDAQ,10.5,11013,-3.06,-2.12,-14.33,-23.34
+50%↑,005090,20220516,KOSPI,38.7,11013,-4.04,-21.56,-27.87,-34.18
-0~50,068760,20220516,KOSDAQ,72.0,11013,2.07,4.69,-3.82,2.46
-50%↓,288620,20220516,KOSDAQ,108.3,11013,10.71,10.34,-10.37,-23.99
+50%↑,213500,20220516,KOSPI,18.9,11013,-2.69,1.65,-3.41,-8.1
흑자전환,060280,20220516,KOSDAQ,5.3,11013,10.71,10.02,0.46,1.71
+50%↑,036010,20220516,KOSDAQ,70.4,11013,-7.75,-10.57,-20.11,-31.56
-0~50,263720,20220516,KOSDAQ,118.6,11013,-4.01,-1.46,-23.23,-11.07
+50%↑,004430,20220516,KOSPI,137.5,11013,2.26,4.09,-11.97,-22.13
적자지속,050090,20220516,KOSDAQ,15.1,11013,1.79,0.94,-12.35,-30.03
적자지속,065660,20220516,KOSDAQ,6.4,11013,0.83,-0.79,-5.42,-4.03
-0~50,160980,20220516,KOSDAQ,11.5,11013,0.29,-2.06,-14.38,-22.59
+0~50,089010,20220516,KOSDAQ,21.9,11013,-0.88,-0.47,-13.46,-26.64
적자지속,217730,20220516,KOSDAQ,9.8,11013,-6.67,-7.76,-20.9,-20.48
+0~50,025550,20220516,KOSDAQ,64.3,11013,0.04,-0.14,-20.08,-24.6
적자전환,002620,20220516,KOSPI,0.9,11013,0.9,2.15,20.49,1.74
+50%↑,272290,20220516,KOSDAQ,126.3,11013,-2.6,-6.2,-19.87,-29.93
+50%↑,194370,20220516,KOSPI,22.4,11013,-3.46,-0.22,-16.65,-25.68
적자지속,198440,20220516,KOSDAQ,170.5,11013,-2.72,-3.09,-11.05,-20.13
+50%↑,332370,20220516,KOSDAQ,2.3,11013,3.92,0.28,-8.64,-11.69
+0~50,005070,20220516,KOSPI,866.5,11013,4.57,5.56,3.98,-1.37
+0~50,002780,20220516,KOSPI,89.0,11013,1.13,-1.4,-15.88,-26.46
-0~50,100590,20220516,KOSDAQ,21.2,11013,-3.45,-6.39,-15.46,-23.55
+0~50,298050,20220516,KOSPI,139.8,11013,3.65,13.0,-5.71,-27.15
적자지속,222110,20220516,KOSDAQ,0.4,11013,-2.6,-2.6,-11.31,-19.39
적자지속,320000,20220516,KOSDAQ,2.6,11013,-3.33,-3.15,-12.78,-24.26
적자전환,273060,20220516,KOSDAQ,1.8,11013,-4.31,-2.74,-10.29,-20.35
+50%↑,047050,20220516,KOSPI,248.2,11013,-4.76,-2.68,-3.72,-25.43
적자전환,303030,20220516,KOSDAQ,65.9,11013,2.8,4.2,-8.35,-22.28
적자지속,331920,20220516,KOSDAQ,2.4,11013,0.13,0.71,-15.55,-12.78
적자지속,039200,20220516,KOSDAQ,30.0,11013,15.62,17.02,-2.47,12.24
+50%↑,083420,20220516,KOSPI,15.5,11013,3.12,3.01,-14.72,-26.07
흑자전환,238200,20220516,KOSDAQ,1.3,11013,7.59,8.29,-6.02,-7.06
적자지속,153460,20220516,KOSDAQ,2.6,11013,-15.31,-12.96,-14.69,-12.1
-0~50,347890,20220516,KOSDAQ,3.6,11013,-2.6,-3.04,9.58,-11.87
+0~50,088390,20220516,KOSDAQ,8.0,11013,15.31,12.84,23.71,0.25
-0~50,002390,20220516,KOSPI,5.6,11013,-1.42,-0.45,-10.47,-14.14
-50%↓,302440,20220516,KOSPI,698.1,11013,6.88,8.09,-15.3,14.54
-0~50,023150,20220516,KOSPI,81.0,11013,-2.82,-0.95,-15.99,-22.26
-0~50,036190,20220516,KOSDAQ,2.2,11013,-0.82,0.17,-5.45,-3.79
-0~50,066310,20220516,KOSDAQ,9.3,11013,2.57,-12.29,-29.52,-24.45
-0~50,016580,20220516,KOSPI,4.8,11013,-0.0,1.17,-1.77,-2.06
+50%↑,004710,20220516,KOSPI,5.7,11013,-2.54,0.64,-11.53,-23.57
-50%↓,026910,20220516,KOSDAQ,3.2,11013,-2.63,-3.01,-14.17,-4.34
+50%↑,166090,20220516,KOSDAQ,90.5,11013,-2.11,-1.64,-11.99,-34.76
+0~50,147830,20220516,KOSDAQ,3.4,11013,-4.27,-6.37,-19.78,-20.61
-0~50,006090,20220516,KOSPI,18.2,11013,0.1,1.57,-8.92,-13.82
적자지속,005870,20220516,KOSPI,111.8,11013,-4.94,-3.9,-21.42,-27.94
흑자전환,043340,20220516,KOSDAQ,3.5,11013,9.31,13.87,-3.97,-8.53
+50%↑,069460,20220516,KOSPI,6.1,11013,13.25,16.1,-3.03,-24.33
+0~50,040420,20220516,KOSDAQ,1.9,11013,-1.61,0.08,-2.65,-5.26
+0~50,033270,20220516,KOSPI,22.3,11013,4.92,3.8,-12.06,-10.38
적자지속,047310,20220516,KOSDAQ,64.6,11013,-0.25,0.75,-6.96,-18.94
흑자전환,037760,20220516,KOSDAQ,12.7,11013,-3.38,-3.6,-21.0,-29.81
적자지속,153710,20220516,KOSDAQ,9.2,11013,-1.59,2.41,-10.78,-6.56
+50%↑,037350,20220516,KOSDAQ,2.9,11013,-2.17,9.79,-0.09,-15.52
적자전환,006380,20220516,KOSPI,41.3,11013,-4.27,-2.22,-10.69,-30.21
+50%↑,009520,20220516,KOSDAQ,18.4,11013,2.3,9.71,-5.11,-11.16
적자지속,317120,20220516,KOSDAQ,2.1,11013,2.52,1.28,6.5,-17.0
흑자전환,058450,20220516,KOSDAQ,89.9,11013,-7.65,-3.48,-19.3,-30.68
+0~50,059100,20220516,KOSDAQ,35.9,11013,-2.1,0.61,-13.5,-15.13
+0~50,004960,20220516,KOSPI,8.7,11013,-9.14,-6.91,-17.74,-27.93
적자지속,238490,20220516,KOSDAQ,0.9,11013,-3.33,-2.96,-16.93,-26.2
+50%↑,032540,20220516,KOSDAQ,48.4,11013,-0.08,7.97,-7.51,-4.29
적자지속,003060,20220516,KOSPI,4.5,11013,-14.99,-14.33,-22.22,-21.82
적자전환,298000,20220516,KOSPI,22.6,11013,5.32,16.07,4.32,-14.68
+0~50,007690,20220516,KOSPI,23.0,11013,-2.92,-0.31,0.63,-13.02
-0~50,003960,20220516,KOSPI,104.7,11013,-2.93,-0.54,-14.26,-25.42
+0~50,003800,20220516,KOSDAQ,0.8,11013,-1.6,-3.0,-6.51,-6.28
+50%↑,003490,20220516,KOSPI,470.6,11013,-2.26,-0.04,-8.57,-15.91
-0~50,064850,20220516,KOSDAQ,0.7,11013,-4.09,-5.04,-13.83,-18.11
+0~50,017670,20220516,KOSPI,427.6,11013,-6.75,-7.08,-15.74,-9.2
-50%↓,189690,20220516,KOSDAQ,3.3,11013,-3.96,-4.35,-9.59,-10.1
+0~50,052260,20220516,KOSDAQ,7.2,11013,2.71,1.11,-16.9,-26.23
적자지속,065130,20220516,KOSDAQ,1.5,11013,-2.56,-0.71,-14.58,-12.11
+50%↑,060540,20220516,KOSDAQ,6.4,11013,3.11,2.76,2.58,-7.84
-0~50,010240,20220516,KOSDAQ,35.6,11013,15.74,14.06,-5.3,-16.07
적자지속,033100,20220516,KOSDAQ,17.5,11013,-5.3,-1.87,-5.3,14.11
-0~50,095500,20220516,KOSDAQ,155.6,11013,13.99,15.39,-1.88,-18.6
흑자전환,043360,20220516,KOSDAQ,15.9,11013,0.54,2.0,-6.35,-14.82
적자지속,130740,20220516,KOSDAQ,5.5,11013,-1.76,2.43,-12.37,-22.99
+0~50,080420,20220516,KOSDAQ,4.0,11013,1.39,3.36,-5.26,-2.54
-0~50,036200,20220516,KOSDAQ,16.6,11013,1.76,-0.69,-16.87,-33.53
-0~50,137950,20220516,KOSDAQ,903.2,11013,-5.11,-6.04,-6.96,-31.5
-0~50,025770,20220516,KOSDAQ,0.7,11013,-2.12,-0.59,-3.26,-2.62
적자지속,271980,20220516,KOSPI,2.9,11013,-2.82,-3.64,-8.97,-9.38
+50%↑,007160,20220516,KOSPI,15.9,11013,-2.65,-1.86,-10.02,-13.06
+0~50,005680,20220516,KOSPI,10.7,11013,0.82,0.82,-8.54,-14.07
적자지속,235980,20220516,KOSDAQ,29.5,11013,5.44,1.23,-12.46,-6.84
흑자전환,332570,20220516,KOSDAQ,2.2,11013,-2.06,1.21,-15.52,-16.0
-50%↓,013570,20220516,KOSPI,49.0,11013,6.56,9.38,-1.17,-17.0
-50%↓,348030,20220516,KOSDAQ,2.5,11013,-0.48,-2.82,-19.87,-8.5
+0~50,198080,20220516,KOSDAQ,2.4,11013,-1.64,-3.08,-16.5,-24.96
+0~50,098460,20220516,KOSDAQ,54.1,11013,-2.42,-3.88,-16.09,-25.1
적자지속,082740,20220516,KOSPI,67.0,11013,-10.87,-16.21,-12.75,-13.62
적자전환,336370,20220516,KOSPI,209.3,11013,2.92,-5.87,-18.28,-34.29
적자지속,084850,20220516,KOSDAQ,10.0,11013,0.12,0.12,-4.36,-9.27
+0~50,294570,20220516,KOSDAQ,21.0,11013,-2.64,-4.66,-19.14,-21.03
적자전환,012340,20220516,KOSDAQ,7.1,11013,12.21,15.24,2.18,-8.81
-0~50,046440,20220516,KOSDAQ,85.3,11013,-10.73,-11.98,-19.54,-30.73
-50%↓,210540,20220516,KOSPI,71.1,11013,-6.77,-7.08,-14.63,-27.84
-0~50,092730,20220516,KOSDAQ,8.3,11013,-2.33,-2.54,-11.26,-16.37
+50%↑,010060,20220516,KOSPI,262.1,11013,1.99,21.42,19.53,11.94
+50%↑,210980,20220516,KOSPI,4.1,11013,-1.85,-0.84,-13.95,-22.52
흑자전환,022100,20220516,KOSPI,14.1,11013,4.14,1.96,-6.73,-12.08
+50%↑,094280,20220516,KOSPI,2.2,11013,-1.18,1.53,-7.2,-16.84
+50%↑,071090,20220516,KOSPI,565.7,11013,10.43,2.73,-16.31,-26.48
적자지속,050860,20220516,KOSDAQ,267.6,11013,-7.72,-2.19,-18.24,-23.77
-0~50,035600,20220516,KOSDAQ,93.9,11013,-4.97,-4.05,-14.79,-19.7
+50%↑,081000,20220516,KOSPI,9.4,11013,-0.78,-0.39,-20.15,-28.45
+50%↑,058430,20220516,KOSPI,22.8,11013,-1.98,-1.98,-19.69,-28.87
-50%↓,126560,20220516,KOSPI,7.2,11013,-2.74,-1.65,-15.51,-22.68
-0~50,097520,20220516,KOSPI,71.4,11013,-0.85,-4.35,-16.69,-24.42
-50%↓,286940,20220516,KOSPI,16.1,11013,-8.03,-6.76,-17.73,-16.94
-0~50,045390,20220516,KOSDAQ,29.5,11013,-3.02,-5.17,-12.9,-22.31
-50%↓,256630,20220516,KOSDAQ,30.9,11013,-1.18,-0.88,-14.75,-22.22
+50%↑,002320,20220516,KOSPI,13.9,11013,-3.54,-3.69,-12.13,-15.57
+50%↑,054950,20220516,KOSDAQ,31.8,11013,-0.32,1.91,-3.95,2.75
+0~50,006880,20220516,KOSPI,495.8,11013,-7.78,17.12,51.12,19.12
-50%↓,123750,20220516,KOSDAQ,2.6,11013,-8.35,-6.63,-7.03,-18.26
적자지속,109960,20220516,KOSDAQ,73.7,11013,-1.02,1.2,1.72,-12.41
흑자전환,041960,20220516,KOSDAQ,11.9,11013,-3.15,0.06,-7.36,-13.06
적자전환,298040,20220516,KOSPI,17.2,11013,-2.21,-0.71,-6.7,-16.02
적자지속,099220,20220516,KOSDAQ,10.7,11013,11.39,45.88,38.12,23.69
+0~50,091120,20220516,KOSDAQ,63.9,11013,-7.59,-10.98,-21.94,-28.63
+50%↑,264660,20220516,KOSDAQ,1.0,11013,-1.85,-0.71,-11.78,-13.31
+50%↑,011210,20220516,KOSPI,177.6,11013,-4.95,-5.24,-14.81,-14.22
+50%↑,353200,20220516,KOSPI,350.9,11013,4.85,5.8,-3.23,-9.57
+0~50,086960,20220516,KOSDAQ,0.3,11013,-32.54,-34.97,-46.43,-48.63
+0~50,090410,20220516,KOSDAQ,377.8,11013,-8.77,-6.48,-27.29,-29.05
-50%↓,950140,20220516,KOSDAQ,11.8,11013,-7.36,-7.79,-24.17,-35.09
+0~50,035420,20220516,KOSPI,1718.1,11013,-0.56,0.7,-12.43,-14.95
-0~50,002150,20220516,KOSPI,236.8,11013,4.88,-9.59,-18.89,-24.06
-50%↓,280360,20220516,KOSPI,11.0,11013,-4.73,-3.87,-6.44,-1.31
적자지속,263860,20220516,KOSDAQ,8.8,11013,1.15,7.8,-1.82,-12.13
적자전환,000180,20220517,KOSPI,39.1,11013,-13.32,-10.25,-24.87,-30.46
-50%↓,025540,20220517,KOSPI,28.4,11013,-2.0,0.64,-8.28,-10.93
적자전환,065950,20220517,KOSDAQ,16.6,11013,-5.75,-3.4,-13.17,-14.28
흑자전환,049480,20220517,KOSDAQ,28.2,11013,-4.45,0.12,-18.02,-19.88
+50%↑,094360,20220517,KOSDAQ,36.2,11013,1.48,2.53,-9.54,-18.99
+50%↑,039240,20220517,KOSDAQ,58.3,11013,-5.22,-1.46,-20.5,-29.92
+50%↑,045300,20220517,KOSDAQ,18.4,11013,-0.28,5.09,2.42,-18.29
+50%↑,215000,20220517,KOSDAQ,83.3,11013,-2.08,-2.54,-10.65,-20.67
+50%↑,285490,20220517,KOSDAQ,20.7,11013,-8.26,-6.84,-16.81,-23.03
+50%↑,023000,20220517,KOSPI,0.9,11013,-3.98,-0.71,-15.2,-21.27
적자지속,097870,20220517,KOSDAQ,138.4,11013,-10.92,-7.71,-16.95,-22.81
+50%↑,021080,20220517,KOSDAQ,14.5,11013,-8.01,-3.13,-18.74,-22.52
-0~50,145020,20220517,KOSDAQ,194.3,11013,4.76,6.39,-6.15,4.76
+0~50,003160,20220517,KOSPI,29.4,11013,-3.56,-3.18,-12.68,-25.43
-0~50,064350,20220517,KOSPI,72.3,11013,-1.03,5.55,8.29,0.89
-0~50,009470,20220517,KOSPI,3.2,11013,-7.03,-5.01,-20.94,-27.79
+50%↑,104700,20220517,KOSPI,20.1,11013,0.48,-0.22,-14.14,-24.46
-50%↓,272550,20220517,KOSPI,2.9,11013,-1.63,-2.53,-15.85,-19.92
적자지속,011230,20220517,KOSPI,1.8,11013,-10.4,-9.68,-22.2,-14.71
+50%↑,091340,20220517,KOSDAQ,1.2,11013,-2.46,-0.69,-8.67,-18.21
-0~50,011780,20220517,KOSPI,150.8,11013,3.72,8.84,2.35,-16.08
+0~50,200880,20220517,KOSPI,15.3,11013,12.79,22.72,8.76,25.45
+50%↑,015230,20220517,KOSPI,115.1,11013,4.71,10.85,-7.92,-17.66
+50%↑,043650,20220517,KOSDAQ,54.6,11013,0.31,2.28,-4.03,-17.43
-0~50,251970,20220517,KOSDAQ,6.2,11013,-1.75,-2.58,-11.89,-12.16
+0~50,004370,20220517,KOSPI,52.8,11013,-7.89,-7.55,-10.75,-6.04
+0~50,016800,20220517,KOSPI,0.5,11013,-1.33,0.88,-3.98,-6.34
흑자전환,105840,20220517,KOSPI,800.6,11013,-14.03,-12.67,-22.56,-22.91
적자전환,004450,20220517,KOSPI,0.5,11013,-4.12,-1.86,-11.59,-18.6
+0~50,103590,20220517,KOSPI,83.7,11013,-1.11,7.1,3.08,8.55
-0~50,007770,20220517,KOSDAQ,8.3,11013,-4.29,-3.45,2.73,8.07
+0~50,268280,20220517,KOSPI,2.3,11013,-3.14,-3.88,-3.39,-6.08
흑자전환,097230,20220517,KOSPI,2.2,11013,-4.3,-3.78,-10.03,-16.02
-0~50,051380,20220517,KOSDAQ,38.2,11013,-1.32,6.42,-12.83,-22.12
흑자전환,335810,20220517,KOSDAQ,1.3,11013,-2.97,-0.61,-14.14,-8.55
-0~50,004970,20220517,KOSPI,5.3,11013,-4.81,-3.2,-13.28,-17.31
적자전환,083930,20220517,KOSDAQ,38.6,11013,6.08,9.12,-0.45,-9.14
+50%↑,322000,20220517,KOSPI,11.7,11013,22.06,45.87,35.92,29.21
+50%↑,009070,20220517,KOSPI,62.6,11013,-5.26,-4.31,-17.7,-28.87
+0~50,053690,20220517,KOSPI,10.4,11013,-2.51,2.79,-12.72,-11.9
-0~50,086040,20220517,KOSDAQ,118.3,11013,-6.86,-0.7,-13.02,-7.72
-0~50,053300,20220517,KOSDAQ,5.7,11013,-3.1,-1.16,-14.57,-6.49
+50%↑,086280,20220517,KOSPI,287.8,11013,-0.87,2.53,-9.36,-11.79
-50%↓,272210,20220517,KOSPI,70.2,11013,-0.81,2.78,-5.37,-19.7
+50%↑,003850,20220517,KOSPI,12.6,11013,-0.03,2.54,-12.85,-12.85
+50%↑,001340,20220517,KOSPI,70.2,11013,-5.65,4.15,-13.8,-29.18
-0~50,012620,20220517,KOSDAQ,5.3,11013,-2.69,0.13,-10.35,-17.61
-0~50,019770,20220517,KOSDAQ,20.6,11013,-1.42,0.02,28.33,6.11
적자전환,029530,20220517,KOSPI,5.2,11013,-2.09,-1.79,-4.66,-5.88
-0~50,001000,20220517,KOSDAQ,10.3,11013,-4.08,-2.96,-6.08,-22.12
-0~50,000720,20220517,KOSPI,189.7,11013,-0.86,2.47,-4.54,-11.07
+50%↑,000910,20220517,KOSPI,19.0,11013,4.09,-2.16,-19.77,-23.61
-50%↓,003240,20220517,KOSPI,4.6,11013,-2.3,-2.5,-6.57,-9.92
-50%↓,068050,20220517,KOSDAQ,7.6,11013,-4.61,0.65,-13.75,-14.75
+0~50,030000,20220517,KOSPI,67.7,11013,-0.08,2.29,-5.62,-13.92
-0~50,005500,20220517,KOSPI,8.3,11013,-1.79,1.87,-0.57,-2.2
흑자전환,070960,20220517,KOSPI,3.8,11013,-3.85,0.36,-9.81,-18.14
+0~50,330860,20220517,KOSDAQ,15.9,11013,-1.42,-2.38,-23.42,-37.36
-0~50,036560,20220517,KOSDAQ,4.4,11013,-4.66,-1.79,-8.45,-14.4
+0~50,066570,20220517,KOSPI,910.5,11013,-5.03,-2.71,-12.57,-16.47
-0~50,241790,20220517,KOSDAQ,7.6,11013,0.24,1.28,-11.82,-27.69
+50%↑,005800,20220517,KOSPI,2.5,11013,-1.18,-1.18,-9.24,-12.47
+0~50,271560,20220517,KOSPI,118.3,11013,0.92,5.49,8.86,15.92
적자지속,180640,20220517,KOSPI,38.9,11013,-2.31,1.31,6.37,6.37
-0~50,131370,20220517,KOSDAQ,8.8,11013,-2.86,5.59,-12.09,0.29
+0~50,013030,20220517,KOSDAQ,13.1,11013,-3.85,-0.65,-10.51,-6.78
흑자전환,000760,20220517,KOSPI,0.6,11013,-4.85,-0.62,-11.91,-18.13
+50%↑,014440,20220517,KOSPI,10.8,11013,-2.84,-0.55,-16.86,-25.12
+50%↑,072950,20220517,KOSDAQ,5.0,11013,-2.84,-1.98,-16.73,-14.38
흑자전환,090460,20220517,KOSPI,181.8,11013,6.5,7.27,-1.91,-3.82
+50%↑,080580,20220517,KOSDAQ,18.7,11013,-6.2,-9.01,-19.65,-20.86
-0~50,130580,20220517,KOSDAQ,0.6,11013,-1.82,0.66,-7.24,-17.06
+0~50,098120,20220517,KOSDAQ,13.3,11013,-23.39,-22.6,-39.76,-47.64
+50%↑,084010,20220517,KOSPI,25.6,11013,-5.58,-1.17,-16.61,-27.39
+50%↑,263600,20220517,KOSDAQ,22.1,11013,0.94,4.45,-6.6,-18.31
+50%↑,290550,20220517,KOSDAQ,18.5,11013,-3.99,-2.79,-20.86,-28.89
-0~50,264900,20220517,KOSPI,137.8,11013,-10.11,-3.03,-16.93,-27.28
+50%↑,219130,20220517,KOSDAQ,11.1,11013,-1.7,1.71,-16.93,-19.55
흑자전환,114450,20220517,KOSDAQ,8.8,11013,-4.62,0.3,-17.6,5.02
-0~50,042420,20220517,KOSDAQ,23.5,11013,1.96,12.68,-4.35,-3.25
+0~50,000480,20220517,KOSPI,0.0,11013,-1.18,-1.3,-2.41,-5.48
+50%↑,015890,20220517,KOSPI,27.4,11013,-0.25,-0.96,-11.89,-10.04
-0~50,352700,20220517,KOSDAQ,10.0,11013,0.14,0.86,-5.26,-1.3
적자전환,038950,20220517,KOSDAQ,4.6,11013,-3.98,-1.79,-16.35,-21.04
+50%↑,237820,20220517,KOSDAQ,1.5,11013,-0.72,2.91,-10.72,-7.84
+50%↑,054930,20220517,KOSDAQ,48.9,11013,-8.55,-3.9,-3.9,19.59
+50%↑,058610,20220517,KOSDAQ,93.9,11013,10.54,15.67,4.13,-15.74
-0~50,003010,20220517,KOSPI,60.4,11013,49.36,67.51,47.93,24.2
-50%↓,013000,20220517,KOSPI,119.0,11013,-12.43,-8.42,-23.82,-30.29
+50%↑,000950,20220517,KOSPI,3.5,11013,-8.91,-9.44,-12.78,-6.8
적자지속,003520,20220517,KOSPI,15.1,11013,-6.53,-9.57,-16.95,-23.25
-0~50,009460,20220517,KOSPI,21.5,11013,-5.36,-2.32,-16.61,-25.27
-0~50,002600,20220517,KOSPI,0.8,11013,-4.62,-3.03,-5.41,-8.59
적자전환,053160,20220517,KOSDAQ,77.0,11013,-10.83,-5.07,-12.0,-11.61
-0~50,008830,20220517,KOSDAQ,179.4,11013,-16.13,-11.7,-25.2,-36.59
+0~50,014570,20220517,KOSDAQ,1.8,11013,-0.79,1.06,-13.72,-10.49
적자전환,378850,20220517,KOSPI,16.5,11013,-3.77,-2.73,-11.41,-24.38
+50%↑,003200,20220517,KOSPI,6.1,11013,-6.08,-6.08,-18.32,-25.02
흑자전환,060370,20220517,KOSDAQ,11.2,11013,0.09,3.27,3.09,10.86
-0~50,178920,20220517,KOSPI,62.0,11013,10.09,13.16,-13.78,-26.05
-0~50,006890,20220517,KOSPI,186.8,11013,-16.22,-15.19,-20.9,-31.55
