date,ticker,name,grp,y,sret60,r
20200324,004270,남성,생존,2020,-32.756340617887524,57.042900480947104
20200326,004270,남성,생존,2020,-30.71473430344951,15.109473684210531
20200313,004310,현대약품,생존,2020,-19.01026176186491,11.620000000000001
20200319,004310,현대약품,생존,2020,-32.47763503037484,47.63657940663176
20200324,004310,현대약품,생존,2020,-22.964746803962996,26.02058479532165
20181026,004410,서울식품,생존,2018,-16.700396067638334,20.29239263803682
20181101,004430,송원산업,생존,2018,-15.101644370330948,15.173658536585357
20200320,004440,삼일씨엔에스,생존,2020,-42.05704798662778,88.68587183308493
20181030,004560,현대비앤지스틸,생존,2018,-12.624800889657294,3.899006772009032
20240806,004560,현대비앤지스틸,생존,2024,-19.21578269736726,1.1439880059969907
20181011,004710,한솔테크닉스,생존,2018,-17.70239623844757,5.379673258813403
20200313,004710,한솔테크닉스,생존,2020,-24.58384779999319,-0.6799999999999999
20200319,004710,한솔테크닉스,생존,2020,-44.38864459026883,49.347144408251886
20260729,004800,효성,생존,2026,-28.915021896409957,39.656134453781505
20190806,004870,티웨이홀딩스,생존,2019,-19.994564107771186,46.07392296718973
20190807,004870,티웨이홀딩스,생존,2019,-18.892346230667286,38.46812511107161
20190808,004870,티웨이홀딩스,생존,2019,-16.733471841177735,27.533875274632408
20181026,004920,씨아이테크,생존,2018,,-0.20222222222221142
20200318,004960,한신공영,생존,2020,-34.79892056731831,20.563486973947903
20200319,004960,한신공영,생존,2020,-43.12184812970981,24.074582484725052
20241115,005070,코스모신소재,생존,2024,-11.000312180753527,-13.235007473841552
20241119,005070,코스모신소재,생존,2024,-10.505292071366947,-14.178449612403098
20200319,005180,빙그레,생존,2020,-37.17318348618757,53.535954415954414
20200320,005180,빙그레,생존,2020,-34.18792354700447,53.28666666666667
20200319,005300,롯데칠성,생존,2020,-30.704715222103065,20.705365853658535
20200325,005300,롯데칠성,생존,2020,-25.821995918188804,12.04134831460674
20220620,005320,온타이드,생존,2022,-17.666342755866175,11.20390092879258
20200319,005440,현대지에프홀딩스,생존,2020,-44.61991984888334,45.862393265183414
20200320,005440,현대지에프홀딩스,생존,2020,-40.41587858873637,52.301366459627324
20181029,005680,삼영전자,생존,2018,-25.799461999385738,19.117029702970292
20181030,005690,파미셀,생존,2018,-16.95378575078817,21.747659574468095
20181108,005850,에스엘,생존,2018,-16.17288142879509,25.131029411764697
20180725,005870,휴니드,생존,2018,-11.136083148178557,2.6204750593824135
20180726,005870,휴니드,생존,2018,-11.484107508899259,1.2590243902439047
20200319,005940,NH투자증권,생존,2020,-41.89597556044224,29.76285714285714
20200320,005940,NH투자증권,생존,2020,-38.25056121111999,32.75432835820895
20240806,005950,이수화학,생존,2024,-12.451686214099505,16.300719794344467
20220623,006110,삼아알미늄,생존,2022,-26.696960826249924,16.15470031545742
20260730,006110,삼아알미늄,생존,2026,-32.772542075094925,129.36562607204118
20181030,006260,LS,생존,2018,-27.474104905229982,6.468640483383684
20241118,006280,녹십자,생존,2024,-12.731499720333026,28.855370511841098
20181029,006380,카프로,생존,2018,-17.603584526076947,29.58875
