종목코드,회사명,시장구분,상장일
331660,한국미라클피플사,코넥스,2019-10-28
272110,케이엔제이,코스닥,2019-10-25
317870,엔바이오니아,코스닥,2019-10-24
318010,팜스빌,코스닥,2019-10-22
336260,두산퓨얼셀,유가,2019-10-18
300120,라온피플,코스닥,2019-10-18
336370,솔루스첨단소재,유가,2019-10-18
036420,콘텐트리중앙,유가,2019-10-18
158430,아톤,코스닥,2019-10-17
234690,녹십자웰빙,코스닥,2019-10-14
332290,누보,코스닥,2019-10-11
331380,포커스에이아이,코스닥,2019-10-02
093510,엔지브이아이,코넥스,2019-09-30
244460,올리패스,코스닥,2019-09-20
317120,라닉스,코스닥,2019-09-18
320000,한울반도체,코스닥,2019-09-18
256150,한독크린텍,코스닥,2019-09-05
311390,네오크레마,코스닥,2019-08-22
195500,마니커에프앤지,코스닥,2019-08-20
328380,솔트웨어,코스닥,2019-08-20
286750,나노실리칸첨단소재,코스닥,2019-08-19
317830,에스피시스템스,코스닥,2019-08-14
228670,레이,코스닥,2019-08-08
186230,그린플러스,코스닥,2019-08-07
282880,코윈로보틱스,코스닥,2019-08-05
317330,덕산테코피아,코스닥,2019-08-02
318000,KBG,코스닥,2019-08-01
317770,엑스페릭스,코스닥,2019-08-01
148150,세경하이테크,코스닥,2019-07-30
313760,캐리,코스닥,2019-07-25
317850,대모,코스닥,2019-07-24
241840,에이스토리,코스닥,2019-07-19
300080,플리토,코스닥,2019-07-17
234340,헥토파이낸셜,코스닥,2019-07-12
289010,아이스크림에듀,코스닥,2019-07-11
251970,펌텍코리아,코스닥,2019-07-04
312610,에이에프더블류,코스닥,2019-07-01
323280,태성,코스닥,2019-06-24
293780,압타바이오,코스닥,2019-06-12
308100,형지글로벌,코스닥,2019-06-10
305090,마이크로디지탈,코스닥,2019-06-05
322780,코퍼스코리아,코스닥,2019-05-31
321260,프로이천,코스닥,2019-05-31
003670,포스코퓨처엠,유가,2019-05-29
253840,수젠텍,코스닥,2019-05-28
307930,컴퍼니케이,코스닥,2019-05-23
319660,피에스케이,코스닥,2019-05-10
319400,현대무벡스,코스닥,2019-05-08
317240,TS트릴리온,코스닥,2019-04-29
125210,아모그린텍,코스닥,2019-03-29
307950,현대오토에버,유가,2019-03-28
228760,지노믹트리,코스닥,2019-03-27
099750,이지케어텍,코스닥,2019-03-22
100790,미래에셋벤처투자,코스닥,2019-03-15
192650,드림텍,유가,2019-03-14
192080,더블유게임즈,유가,2019-03-12
247540,에코프로비엠,코스닥,2019-03-05
299660,셀리드,코스닥,2019-02-20
316140,우리금융지주,유가,2019-02-13
278280,천보,코스닥,2019-02-11
246960,SCL사이언스,코스닥,2019-02-01
104620,노랑풍선,코스닥,2019-01-30
053580,웹케시,코스닥,2019-01-25
311060,엘에이티,코넥스,2018-12-28
298690,에어부산,유가,2018-12-27
238200,비피도,코스닥,2018-12-26
263050,유틸렉스,코스닥,2018-12-24
290550,디케이티,코스닥,2018-12-21
307180,아이엘,코스닥,2018-12-21
310200,애니플러스,코스닥,2018-12-21
310870,디와이씨,코스닥,2018-12-20
309930,조이웍스앤코,코스닥,2018-12-20
307750,국전,코스닥,2018-12-19
298380,에이비엘바이오,코스닥,2018-12-19
100590,머큐리,코스닥,2018-12-14
110020,전진바이오팜,코스닥,2018-12-14
270870,뉴트리,코스닥,2018-12-13
307870,비투엔,코스닥,2018-12-12
302430,이노메트리,코스닥,2018-12-12
290120,DH오토리드,코스닥,2018-12-07
128540,에코캡,코스닥,2018-12-05
307280,원바이오젠,코스닥,2018-12-05
900340,윙입푸드,코스닥,2018-11-30
111710,남화산업,코스닥,2018-11-29
111710,남화산업,코스닥,2018-11-29
179290,엠아이텍,코스닥,2018-11-29
117730,티로보틱스,코스닥,2018-11-29
290660,다이나믹솔루션,코스닥,2018-11-28
207490,에이펙스인텍,코넥스,2018-11-28
246710,티앤알바이오팹,코스닥,2018-11-28
267850,아시아나IDT,유가,2018-11-23
263690,디알젬,코스닥,2018-11-22
217330,싸이토젠,코스닥,2018-11-22
027360,아주IB투자,코스닥,2018-11-21
263020,디케이앤디,코스닥,2018-11-20
194700,노바렉스,코스닥,2018-11-14
290670,대보마그네틱,코스닥,2018-11-06
285490,노바텍,코스닥,2018-11-02
290650,엘앤씨바이오,코스닥,2018-11-01
306620,지아이에스,코스닥,2018-10-31
108490,로보티즈,코스닥,2018-10-26
153710,옵티팜,코스닥,2018-10-26
288620,에스프리즘,코스닥,2018-10-15
306200,세아제강,유가,2018-10-05
293580,나우IB,코스닥,2018-10-04
290720,푸드나무,코스닥,2018-10-04
293480,하나제약,유가,2018-10-02
110790,크리스에프앤씨,코스닥,2018-10-01
299170,더블유에스아이,코스닥,2018-09-21
219750,한국비티비,코스닥,2018-09-21
010400,우진아이엔에스,유가,2018-09-14
291230,컴투스엔,코스닥,2018-09-13
257370,피엔티엠에스,코스닥,2018-09-13
140610,엔솔바이오사이언스,코넥스,2018-09-10
197140,디지캡,코스닥,2018-09-07
303030,지니틱스,코스닥,2018-08-30
290740,액트로,코스닥,2018-08-28
173130,오파스넷,코스닥,2018-08-24
089970,브이엠,코스닥,2018-08-23
086820,바이오솔루션,코스닥,2018-08-20
302920,더콘텐츠온,코넥스,2018-08-13
293940,신한알파리츠,유가,2018-08-08
110990,디아이티,코스닥,2018-08-07
275630,에스에스알,코스닥,2018-08-06
300720,한일시멘트,유가,2018-08-06
290270,휴네시온,코스닥,2018-08-02
091810,트리니티항공,유가,2018-08-01
286940,롯데이노베이트,유가,2018-07-27
080720,한국유니온제약,코스닥,2018-07-26
204020,그리티,코스닥,2018-07-23
297570,아틀라스링크,코스닥,2018-07-20
226950,올릭스,코스닥,2018-07-18
298050,HS효성첨단소재,유가,2018-07-13
258050,테크트랜스,코넥스,2018-07-13
298040,효성중공업,유가,2018-07-13
298020,효성티앤씨,유가,2018-07-13
298000,효성화학,유가,2018-07-13
175250,아이큐어,코스닥,2018-07-12
289080,SV인베스트먼트,코스닥,2018-07-06
276240,엘리비젼,코넥스,2018-07-05
299480,지앤이헬스케어,코넥스,2018-06-29
088260,이리츠코크렙,유가,2018-06-27
245620,EDGC,코스닥,2018-06-26
294870,IPARK현대산업개발,유가,2018-06-12
284620,카이노스메드,코스닥,2018-06-08
037030,파워넷,코스닥,2018-06-07
016790,현대사료,코스닥,2018-06-01
258830,세종메디칼,코스닥,2018-05-29
122310,제노레이,코스닥,2018-05-28
217910,에스제이켐,코넥스,2018-04-27
950170,JTC,코스닥,2018-04-06
253590,네오셈,코스닥,2018-04-04
263700,케어랩스,코스닥,2018-03-28
018250,애경산업,유가,2018-03-22
277070,린드먼아시아,코스닥,2018-03-14
226400,오스테오닉,코스닥,2018-02-22
183490,엔지켐생명과학,코스닥,2018-02-21
006620,동구바이오제약,코스닥,2018-02-13
154030,아시아종묘,코스닥,2018-02-12
260660,알리코제약,코스닥,2018-02-12
068270,셀트리온,유가,2018-02-09
042000,카페24,코스닥,2018-02-08
219420,링크제니시스,코스닥,2018-02-05
267790,배럴,코스닥,2018-02-01
255220,SG,코스닥,2018-01-26
264660,씨앤지하이테크,코스닥,2018-01-25
284740,쿠쿠홈시스,유가,2018-01-11
285130,SK케미칼,유가,2018-01-05
187870,디바이스,코스닥,2017-12-20
236030,씨알푸드,코넥스,2017-12-14
281740,레이크머티리얼즈,코스닥,2017-12-12
282330,BGF리테일,유가,2017-12-08
092780,DYP,유가,2017-12-08
272450,진에어,유가,2017-12-08
260930,씨티케이,코스닥,2017-12-07
241770,메카로,코스닥,2017-12-06
234300,에스트래픽,코스닥,2017-12-05
281820,케이씨텍,유가,2017-12-05
066360,체리부로,코스닥,2017-12-04
007680,대원,코스닥,2017-12-01
272550,삼양패키징,유가,2017-11-29
253450,스튜디오드래곤,코스닥,2017-11-24
950160,코오롱티슈진,코스닥,2017-11-06
278990,EMB,코넥스,2017-10-31
055490,테이팩스,유가,2017-10-31
280360,롯데웰푸드,유가,2017-10-30
180060,탑선,코넥스,2017-10-27
180060,탑선,코넥스,2017-10-27
265560,영화테크,코스닥,2017-10-26
234100,폴라리스세원,코스닥,2017-10-20
263810,상신전자,코스닥,2017-10-16
255440,야스,코스닥,2017-09-29
277410,인산가,코스닥,2017-09-29
263920,휴엠앤씨,코스닥,2017-09-28
243840,신흥에스이씨,코스닥,2017-09-27
179900,유티아이,코스닥,2017-09-27
171090,선익시스템,코스닥,2017-09-20
259630,엠플러스,코스닥,2017-09-20
174900,앱클론,코스닥,2017-09-18
263750,펄어비스,코스닥,2017-09-14
256940,킵스파마,코스닥,2017-09-06
260870,SK시그넷,코넥스,2017-08-30
