ticker,market,per,pbr,pcr,upjong_per,ev_ebitda,eps,bps,div_yield
002020,KOSPI,,0.17,32.29,22.02,16.36,-5101.0,144506.0,2.24
002025,KOSPI,,0.17,32.29,22.02,16.36,-5101.0,144506.0,2.24
002070,KOSPI,,0.27,1.46,7.14,-161.45,-7194.0,18115.0,0.0
002100,KOSPI,11.65,0.56,-22.69,10601.2,7.16,771.0,15968.0,7.8
002140,KOSPI,6.91,0.42,1.56,37.22,6.94,293.0,4840.0,1.98
002150,KOSPI,19.76,0.69,13.39,15.34,5.81,260.0,7481.0,5.84
002170,KOSPI,6.44,0.31,4.7,7.14,-3.29,8383.0,174015.0,4.26
002200,KOSPI,,0.36,18.19,14.41,104.33,-243.0,8028.0,2.79
002210,KOSPI,,1.46,-2.78,35.58,-18.74,-259.0,927.0,0.0
002220,KOSPI,,0.43,132.81,22.68,21.43,-70.0,6814.0,1.02
002230,KOSDAQ,4.75,0.58,5.08,,3.24,1059.0,8739.0,4.97
002290,KOSDAQ,6.95,0.56,2.61,15.34,-2.7,479.0,5920.0,6.76
002310,KOSPI,12.59,0.36,4.55,14.41,3.34,667.0,23258.0,2.98
002320,KOSPI,,0.16,0.9,9.47,7.44,-708.0,93472.0,4.14
002350,KOSPI,3.78,0.27,1.66,8.13,4.03,1480.0,20899.0,3.57
002355,KOSPI,3.78,0.27,1.66,8.13,4.03,1480.0,20899.0,3.57
002360,KOSPI,,0.23,-4.32,10601.2,-0.49,-479.0,6471.0,0.0
002380,KOSPI,1.13,0.31,5.25,2.96,8.99,413917.0,1498027.0,3.22
002390,KOSPI,,0.46,30.72,35.58,17.64,-681.0,19497.0,2.25
002410,KOSPI,,,3.34,15.34,-2.82,-2035.0,-2529.0,12.0
002420,KOSPI,,1.38,-38.11,8.41,233.57,-132.0,4066.0,0.0
002450,KOSPI,2.42,0.25,3.58,6.82,7.52,458.0,4350.0,4.51
002460,KOSPI,4.38,0.24,2.08,15.34,3.6,2468.0,45420.0,6.93
002600,KOSPI,37.84,0.57,7.85,37.22,8.89,3660.0,244761.0,4.33
002620,KOSPI,14.54,0.37,314.34,35.58,3.93,528.0,20485.0,0.91
002630,KOSPI,23.41,0.75,20.85,,-12.09,39.0,1219.0,3.0
002680,KOSDAQ,,0.75,6.94,37.22,21.29,-4623.0,3493.0,0.0
002690,KOSPI,37.16,0.19,40.28,22.68,-20.62,39.0,7715.0,12.0
002700,KOSPI,12.04,0.75,4.62,10.84,5.87,80.0,1282.0,2.07
002720,KOSPI,13.75,0.69,11.78,35.58,9.4,236.0,4696.0,0.92
002760,KOSPI,23.67,1.2,8.33,37.22,13.44,42.0,829.0,0.7
002780,KOSPI,,0.4,-3.84,15.34,1.27,-857.0,17135.0,0.0
002785,KOSPI,,0.4,-3.84,15.34,1.27,-857.0,17135.0,0.0
002787,KOSPI,,0.4,-3.84,15.34,1.27,-857.0,17135.0,0.0
002790,KOSPI,17.47,0.67,3.9,27.72,1.11,1506.0,39318.0,1.52
002795,KOSPI,17.47,0.67,3.9,27.72,1.11,1506.0,39318.0,1.52
00279K,KOSPI,17.47,0.67,3.9,27.72,1.11,1506.0,39318.0,1.52
002800,KOSDAQ,5.03,0.86,7.89,35.58,7.2,888.0,5214.0,1.79
002810,KOSPI,5.95,0.6,15.95,10601.2,4.81,3633.0,35853.0,4.63
002820,KOSPI,2.22,0.08,-1.44,,-14.0,642.0,18625.0,0.0
002840,KOSPI,12.09,1.41,9.31,10601.2,6.83,11119.0,95615.0,1.79
002870,KOSPI,4.67,0.4,15.26,14.41,-3.77,248.0,2936.0,0.0
002880,KOSPI,2.43,0.49,0.4,8.13,3.11,1403.0,6912.0,0.0
002900,KOSPI,3.91,0.57,2.29,65.43,4.43,1728.0,11894.0,4.3
002920,KOSPI,,0.18,2.4,8.13,5.08,-1165.0,10157.0,12.0
002960,KOSPI,12.92,5.38,12.9,10601.2,10.38,39410.0,94588.0,7.07
002990,KOSPI,6.57,1.76,9.96,15.34,9.1,2074.0,7728.0,1.47
002995,KOSPI,6.57,1.76,9.96,15.34,9.1,2074.0,7728.0,1.47
003010,KOSPI,6.34,0.65,2.48,65.43,6.03,1416.0,13859.0,2.23
003060,KOSPI,,0.11,-0.57,35.58,-4.95,-5828.0,14306.0,0.0
003070,KOSPI,,0.32,2.55,15.34,24.9,-3957.0,28440.0,4.39
003075,KOSPI,,0.32,2.55,15.34,24.9,-3957.0,28440.0,4.39
003080,KOSPI,,0.29,-7.4,10601.2,-6.45,-683.0,7817.0,9.17
003090,KOSPI,5.12,0.53,3.57,35.58,4.74,3086.0,29804.0,1.27
0030R0,KOSPI,114.69,0.78,71.92,32.33,81.63,33.0,4814.0,1.95
003100,KOSDAQ,2.93,0.28,1.98,5.38,3.97,6936.0,72141.0,2.22
003120,KOSPI,52.91,0.42,75.56,35.58,-23.77,417.0,53025.0,5.44
003160,KOSPI,30.45,4.06,18.12,8.76,21.46,1031.0,7730.0,0.8
003200,KOSPI,5.86,0.27,7.4,7.14,4.94,2048.0,43957.0,3.33
003220,KOSPI,67.4,0.63,4.19,35.58,11.13,117.0,12489.0,3.16
003230,KOSPI,19.48,6.21,30.71,37.22,16.37,64729.0,203212.0,0.38
003240,KOSPI,8.52,0.18,-7.59,10601.2,-113.69,106610.0,5050586.0,0.19
003280,KOSPI,18.58,1.57,11.49,11.43,12.14,98.0,1155.0,12.0
003300,KOSPI,10.01,0.32,2.65,2.96,4.32,1771.0,54841.0,5.64
003310,KOSDAQ,9.12,0.51,3.92,37.22,3.49,181.0,3224.0,2.24
003350,KOSPI,10.58,2.22,9.33,27.72,7.88,1413.0,6726.0,0.4
003380,KOSDAQ,7.5,0.32,1.1,37.22,5.24,1494.0,35033.0,1.07
003460,KOSPI,12.54,0.34,3.26,5.13,28.72,238.0,8822.0,7.36
003465,KOSPI,12.54,0.34,3.26,5.13,28.72,238.0,8822.0,7.36
003470,KOSPI,5.09,0.48,-1.08,5.13,26.15,911.0,9679.0,4.75
003475,KOSPI,5.09,0.48,-1.08,5.13,26.15,911.0,9679.0,4.75
003480,KOSPI,2.1,0.26,1.13,5.46,4.02,2270.0,18207.0,2.52
003490,KOSPI,,1.02,2.63,,7.02,-693.0,28464.0,2.58
003495,KOSPI,,1.02,2.63,,7.02,-693.0,28464.0,2.58
003520,KOSPI,,2.25,16.5,35.58,21.23,-34.0,471.0,12.0
003530,KOSPI,12.33,0.44,-1.38,5.13,25.18,372.0,10379.0,0.0
003535,KOSPI,12.33,0.44,-1.38,5.13,25.18,372.0,10379.0,0.0
003540,KOSPI,5.54,0.42,-0.76,5.13,41.06,4838.0,63820.0,4.48
003545,KOSPI,5.54,0.42,-0.76,5.13,41.06,4838.0,63820.0,4.48
003547,KOSPI,5.54,0.42,-0.76,5.13,41.06,4838.0,63820.0,4.48
003550,KOSPI,23.31,0.56,17.61,22.02,12.77,4813.0,201266.0,2.76
003555,KOSPI,23.31,0.56,17.61,22.02,12.77,4813.0,201266.0,2.76
003570,KOSPI,18.3,0.73,-15.21,8.13,6.56,1478.0,37242.0,6.65
003580,KOSPI,,1.2,-9.82,,-15.98,-30.0,1382.0,12.0
003610,KOSPI,15.96,0.96,44.75,7.14,27.95,355.0,5933.0,1.23
003620,KOSPI,5.66,0.35,4.48,7.9,4.71,462.0,7541.0,12.0
003650,KOSPI,1.84,0.34,5.61,10601.2,-0.43,70773.0,380540.0,2.69
003670,KOSPI,371.69,3.99,-469.02,10601.2,89.26,506.0,47212.0,0.13
003680,KOSPI,8.18,0.37,3.32,37.22,15.09,567.0,12663.0,12.0
003690,KOSPI,6.19,0.67,1.78,8.5,4.41,2458.0,22747.0,3.75
003720,KOSPI,10.61,2.2,11.72,10601.2,13.23,602.0,2909.0,0.47
003780,KOSPI,9.06,0.79,5.66,10601.2,4.66,445.0,5090.0,8.87
0037T0,KOSDAQ,73.0,1.01,-118.74,13.18,-252.01,27.0,1975.0,12.0
