date,ticker,name,close,change,volume,indiv,organ,frgn,foreign_ratio,open,high,low,amount,marcap,shares
20240603,000520,삼일제약,8120,-10,193099,,124,14167,3.18,8060,8350,7970,1567963880,176137505320,21691811
20240603,000540,흥국화재,3850,5,46276,,338,6395,1.43,3875,3925,3845,178162600,247334183250,64242645
20240603,000545,흥국화재우,6450,-60,2612,,0,0,0.18,6510,6510,6410,16847400,4953600000,768000
20240603,000590,CS홀딩스,71000,1200,1284,,13,55,2.43,69900,71300,68600,91164000,81968222000,1154482
20240603,000640,동아쏘시오홀딩스,95384,189,8179,,-1443,2182,15.29,95195,97459,94817,780145736,642175355368,6732527
20240603,000650,천일고속,44550,-550,760,,2,-12,0.05,44900,45000,44550,33858000,63671751000,1429220
20240603,000660,SK하이닉스,194200,5000,2982443,,-161727,468481,55.54,189500,194600,188200,579190430600,141861617283000,730492365
20240603,000670,영풍,35430,1461,29479,,269,56,4.11,34346,35619,34158,1044440970,652290498690,18410683
20240603,000680,LS네트웍스,4835,275,1766020,,-1410,284592,0.81,4570,4945,4535,8538706700,381012582360,78803016
20240603,000700,유수홀딩스,5690,10,9041,,386,2662,18.79,5680,5730,5650,51443290,148177910280,26041812
20240603,000720,현대건설,33850,650,192388,,-4,26746,25.56,33450,33950,33350,6512333800,3769392645250,111355765
20240603,000725,현대건설우,49500,300,3318,,0,196,3.42,49200,50000,49200,164241000,52207303500,1054693
20240603,000760,이화산업,14690,240,3306,,2,100,0.26,14360,14690,14360,48565140,41132000000,2800000
20240603,000810,삼성화재,357000,8500,78564,,6370,167,54.12,358500,364000,349500,28047348000,15939147861000,44647473
20240603,000815,삼성화재우,271500,6500,13934,,-415,6111,31.9,265500,272500,265500,3783081000,816405930000,3007020
20240603,000850,화천기공,30250,50,4274,,1,410,8.83,30200,30450,30150,129288500,66550000000,2200000
20240603,000860,강남제비스코,13080,-100,11453,,-2,-570,6.56,13405,13405,13079,149805240,170040000000,13000000
20240603,000880,한화,32713,241,874131,,-40791,93445,14.98,32773,34333,32713,28595447403,1744548207561,53328897
20240603,00088K,한화3우B,15092,20,61484,,-1610,7589,15.51,15072,15132,15032,927916528,221499443396,14676613
20240603,000890,보해양조,2425,20,32961,,84,-6074,0.79,2410,2435,2405,79930425,66988260625,27624025
20240603,000910,유니온,5290,50,42578,,8,4478,0.91,5240,5320,5200,225237620,82585464510,15611619
20240603,000950,전방,20700,150,1308,,98,-49,0.24,21450,21450,20650,27075600,34776000000,1680000
20240603,000970,한국주철관,6940,410,1747328,,-1998,-61286,3.51,6530,7500,6530,12126456320,158235470000,22800500
20240603,000990,DB하이텍,41650,1100,358205,,120594,37422,22.61,40600,42150,40600,14919238250,1811966090200,43504588
