ticker,ksic
006070,10602
006090,102
006110,24222
006120,64992
006140,27112
006150,2622
006200,64992
006210,26
006220,64121
006250,28302
006260,64992
006280,212
006340,28302
006350,64121
006360,4111
006370,47111
006380,20119
006390,23311
006400,28202
006440,4111
006490,612
006570,25993
006580,1710
006600,21212
006620,212
006650,20111
006660,30399
006730,551
006740,172
006750,29172
006800,66121
006840,64992
006880,46201
006890,20121
0068Y0,66199
006910,2511
006920,23322
006980,105
007050,29230
007070,47122
007110,466
007120,620
007150,26
007160,102
007190,171
0071M0,66199
007200,64131
007210,23999
007280,24121
0072Z0,66199
007310,108
007330,64132
007340,28202
007370,212
007390,211
007460,212
007480,24222
007490,13401
007530,259
007540,64992
007570,212
007590,2032
007610,28123
007630,461
007640,64132
007660,2622
007680,41112
007690,20111
007700,64992
007720,468
007770,201
007800,64131
007810,2622
007820,29169
007830,64132
007860,64992
007910,20202
007980,141
008000,20501
008020,35200
008030,1419
008040,105
008060,64992
008080,27
008110,264
008120,26
008250,16211
008260,2419
008270,64911
008290,14111
0082N0,70113
008320,28302
008340,24222
008350,24222
008370,22212
008400,30203
008420,2419
008470,25130
008490,2049
008500,133
008540,14120
008560,66121
008600,46413
008670,66121
008700,265
008720,29299
008730,22231
008770,47859
008780,2629
008800,108
008830,292
008870,23192
0088D0,66199
0088M0,27112
008900,28302
008930,64992
008970,2413
009010,85501
009070,49301
009080,23192
009140,2629
009150,2622
009160,24113
009180,5299
009190,24122
0091W0,6619
009200,171
009220,2642
009240,46431
009270,14112
009280,26
009290,21220
009300,212
009310,29271
009320,303
009360,46800
009380,17105
0093G0,66199
009410,41221
009420,212
009440,64992
009450,28520
009460,171
009470,26291
009520,24199
009540,64992
009580,171
009620,24222
009680,303
009690,28302
0096B0,64999
0096D0,66199
009720,231
009730,2413
009760,64992
009770,171
009780,108
009790,2622
0097F0,66199
009810,467
009830,20111
009890,2642
0098T0,66199
009900,303
009940,2629
009970,64992
0099W0,66199
0099X0,66199
010040,2321
010050,64919
010060,64992
010090,47121
010100,303
010120,28121
010130,24213
010140,3111
010150,2629
010170,283
0101C0,66199
010200,15110
010240,29241
010280,62021
010400,422
010420,467
010460,66199
010470,71310
010520,2413
010580,303
0105P0,66199
010600,461
010620,3111
010640,22259
010660,29223
010670,27212
010690,30391
010730,13103
010770,303
010780,2332
010820,252
010950,19210
010960,421
011000,212
011020,20202
011040,212
011050,2642
011070,262
011080,1419
011090,32021
011150,108
011160,41112
011170,20111
011200,50112
011210,303
011230,265
011280,1721
011300,13213
011320,303
011330,303
011370,41112
011390,23322
011400,30320
011420,911
011500,20421
011560,422
0115H0,66199
011690,2611
011700,29132
011720,20411
011760,46800
011780,201
011790,204
0117P0,474
011800,24122
011810,46800
