ticker,debt_ratio,as_of
036180,90.6,20251129
036190,13.6,20260829
036200,16.8,20260829
036220,21.9,20260829
036260,679.8,20210415
036420,66.8,20260829
036460,457.7,20260829
036480,65.9,20260829
036490,272.6,20211129
036530,19.3,20260829
036540,19.0,20260829
036560,25.6,20260829
036570,23.1,20260829
036580,210.7,20260829
036620,28.5,20260829
036630,65.1,20260829
036640,13.5,20260829
036670,16.9,20260829
036690,207.9,20260829
036710,42.0,20260829
036800,209.4,20260829
036810,81.7,20260829
036830,7.7,20260829
036890,27.3,20260829
036930,46.4,20260829
037030,31.1,20260829
037070,61.4,20260829
037230,102.6,20260829
037270,53.1,20260829
037330,61.3,20260829
037350,85.6,20260829
037370,331.3,20260829
037400,23.2,20260829
037440,148.4,20260829
037460,35.3,20260829
037560,168.6,20260829
037710,38.9,20260829
037760,145.6,20260829
037950,14.4,20260829
038010,31.2,20260829
038060,35.6,20260829
038070,34.6,20260829
038110,156.6,20260829
038160,124.1,20240414
038290,110.6,20260829
038340,64.4,20260829
038390,254.1,20260829
038460,18.1,20260829
038500,62.5,20260829
038530,10.8,20260829
038540,24.1,20260829
038620,12.4,20260829
038680,180.5,20260829
038870,32.0,20260829
038880,91.2,20260829
038950,6.5,20260829
039010,44.0,20260829
039020,11.5,20260829
039030,10.9,20260829
039130,258.2,20260829
039200,12.1,20260829
039230,370.6,20250415
039240,48.8,20260829
039290,39.3,20260829
039310,13.3,20260829
039340,18.3,20260829
039420,10.1,20260829
039440,16.8,20260829
039490,1277.6,20260829
039560,29.0,20260829
039570,38.2,20260829
039610,31.8,20260829
039670,318.6,20250415
039740,118.3,20260829
039790,799.5,20260530
039830,207.6,20260829
039840,48.8,20260829
039860,4.6,20260829
039980,19.0,20260829
040160,89.3,20260829
040300,49.8,20260829
040350,27.2,20260829
040420,28.6,20260829
040610,55.0,20260829
040910,114.3,20260829
041020,8.8,20260829
041140,9.1,20220415
041190,20.8,20260829
041440,86.8,20260829
041460,33.6,20260829
041510,52.7,20260829
041520,3.7,20260829
041590,5.1,20260829
041650,86.5,20260829
041830,5.3,20260829
041910,33.0,20260829
041920,10.0,20260829
041930,9.3,20260829
041960,71.9,20260829
042000,49.8,20260829
042040,62.2,20260829
042110,31.4,20260829
042370,6.8,20260829
042420,1.5,20260829
042500,54.0,20260829
042510,35.1,20260829
042520,82.6,20260829
042600,184.6,20260829
042660,172.0,20260829
042670,91.8,20251129
042700,19.6,20260829
042940,10.6,20260829
043090,27.8,20260829
043100,187.0,20260829
043150,19.9,20260829
043200,125.1,20260829
043220,60.4,20260829
043260,204.5,20260829
043290,103.0,20210530
043340,158.8,20260829
043360,18.1,20260829
043370,28.8,20260829
043580,3.3,20180530
043590,10.4,20260829
043610,69.9,20260829
043650,7.5,20260829
043710,144.3,20260829
043910,48.7,20260829
044060,52.3,20260829
044180,4724.2,20260829
044340,127.9,20260829
044380,17.2,20260829
044450,230.2,20260829
044480,50.6,20260829
044490,35.0,20260829
044780,35.0,20260829
044820,145.1,20260829
044960,24.0,20260829
044990,15.9,20260829
045060,15.0,20260829
045100,38.7,20260829
045300,30.1,20260829
045340,39.2,20260829
045390,71.9,20260829
045510,131.6,20260829
045520,309.0,20260829
045660,35.9,20260829
045890,114.4,20211129
045970,116.5,20260829
046070,245.0,20260829
046110,107.3,20250415
046120,58.5,20260829
046140,27.8,20240414
046210,4.1,20260829
046310,50.6,20260829
046390,29.7,20260829
046440,64.0,20260829
046890,40.3,20260829
046940,44.4,20260829
046970,36.2,20260829
047040,326.1,20260829
047050,158.6,20260829
047080,26.4,20260829
047310,64.1,20260829
047400,177.7,20260829
047440,223.5,20180829
047560,126.7,20260829
047770,6.1,20260829
047810,484.7,20260829
047820,15.3,20260829
047920,31.3,20260829
048260,135.0,20260829
048410,26.6,20260829
048430,19.9,20260829
048470,31.2,20260829
048530,10.0,20260829
048550,121.5,20260829
048770,192.3,20260829
048830,39.9,20260829
048870,12.0,20260829
048910,129.6,20260829
049070,7.4,20260829
049080,94.2,20260829
049120,150.4,20260829
049180,93.4,20260829
049430,4.3,20260829
049470,26.4,20260829
049480,46.1,20260829
049520,20.8,20260829
049550,91.3,20260829
049630,83.3,20260829
049720,68.6,20260829
049770,79.7,20260829
049800,225.4,20260829
049830,25.0,20260829
049950,22.6,20260829
049960,5.0,20260829
050090,26.1,20260829
050110,111.7,20260829
050120,17.8,20260829
050320,9.5,20241129
050540,182.9,20260829
050760,82.8,20260829
050860,51.5,20260415
050890,49.3,20260829
050960,7.4,20260829
051160,23.0,20260829
051360,73.2,20260829
051370,8.1,20260829
051380,187.2,20260829
051390,15.9,20260829
051490,69.6,20260829
051500,262.2,20260829
051600,24.8,20260829
051630,17.1,20260829
051780,230.6,20260829
051900,11.6,20260829
051910,50.7,20260829
051980,21.9,20260829
052020,10.0,20260829
052190,194.9,20260829
052220,11.2,20260829
052260,14.2,20260829
052290,22.6,20180829
052300,1.4,20260829
052330,27.3,20260829
052400,118.6,20260829
052420,15.0,20260829
052460,68.3,20260829
052600,34.2,20260829
052670,7.7,20260829
052690,33.6,20260829
052710,134.9,20260829
052770,65.4,20260829
052790,6.8,20260829
052860,42.5,20260829
052900,29.2,20260829
053030,93.7,20260829
053050,119.3,20260829
053060,274.5,20260829
053080,126.5,20260829
053110,307.5,20240414
053160,16.2,20260829
053210,67.9,20260829
053260,22.6,20260829
053270,176.2,20260829
053280,188.2,20260829
053290,28.1,20260829
053300,21.9,20260829
053350,5.7,20260829
053450,178.5,20260829
053580,19.2,20260829
053590,456.7,20240829
053610,11.4,20260829
053620,16.7,20260829
053660,154.3,20231129
053690,38.7,20260829
053700,249.9,20260829
053800,33.1,20260829
053950,16.7,20260829
053980,63.8,20260829
054040,97.0,20260829
054050,15.8,20260829
054090,130.9,20260829
054180,52.7,20260829
054210,87.5,20260829
054220,110.0,20260829
054300,66.5,20260829
054340,445.5,20260829
054410,70.5,20260829
054450,175.9,20260829
054540,124.9,20260829
054620,42.3,20260829
054630,3210.5,20260415
054670,88.8,20260829
054780,31.2,20260829
054800,63.1,20260829
054920,64.3,20260829
054930,121.4,20260829
054940,126.7,20260829
054950,23.0,20260829
055490,41.7,20260829
055550,40.4,20260829
056000,27.4,20231129
056080,54.0,20260829
056090,31.9,20260829
056190,53.1,20260829
056360,17.9,20260829
056700,61.9,20260829
056730,25.0,20260829
057030,53.5,20260829
057050,12.1,20260829
057500,9.0,20251129
057540,19.0,20260829
057680,14.5,20260829
057880,524.9,20251129
058110,44.5,20260829
058220,425.6,20211129
058400,6.8,20260829
058420,124.0,20230530
058430,30.7,20260829
058450,47.3,20260829
058470,10.3,20260829
058530,77.6,20260829
058610,84.2,20260829
058630,16.8,20260829
058650,20.0,20260829
058730,135.9,20260829
058820,55.9,20260829
058850,82.7,20260829
058860,85.5,20260829
058970,17.3,20260829
059090,195.7,20260829
059100,31.3,20260829
059120,10.2,20260829
059210,46.9,20260829
059270,50.6,20260829
060150,34.9,20260829
060230,98.1,20260829
060240,13733.4,20260829
060250,115.8,20260829
060260,131.9,20260829
060280,10.3,20260829
060300,1303.5,20231129
060310,25.2,20260530
060370,14.8,20260829
060380,58.9,20260829
060480,10.6,20260829
060540,19.3,20260829
060560,142.8,20260829
060570,39.3,20260829
060590,81.7,20260829
060720,10.4,20260829
060850,80.6,20260829
060900,21.2,20260829
060980,84.4,20260829
061040,47.0,20260829
061090,14.2,20260829
061250,4.0,20260829
061970,127.1,20260829
062040,14.2,20260829
062860,183.3,20260829
062970,32.0,20260829
063080,280.8,20260829
063160,145.1,20260829
063170,147.0,20260829
063440,7.9,20260829
063570,226.3,20260829
063760,22.7,20260829
064090,1.4,20260829
064240,6.1,20260829
064260,126.6,20260829
064290,184.0,20260829
064350,163.3,20260829
064400,64.2,20260829
064480,26.6,20260829
064510,49.6,20260829
064520,3.2,20260829
064550,78.9,20260829
064760,9.7,20260829
064800,20.1,20260829
064820,34.0,20260829
064850,16.6,20260829
064960,26.1,20260829
065060,174.7,20260829
065130,21.1,20260829
065150,36.6,20260829
065160,10.9,20250530
065170,100.2,20260829
065350,49.8,20260829
065370,122.1,20260829
065420,112.5,20260829
065440,27.9,20260829
065450,102.7,20260829
065500,140.5,20260829
065510,117.7,20260829
065530,85.5,20260829
065560,27.3,20260829
065570,186.0,20260829
065620,161.0,20210829
065650,72.1,20260829
065660,2.7,20260829
065680,30.1,20260829
065690,32.8,20260829
065710,31.5,20260829
065770,46.8,20260829
065940,746.8,20211129
065950,81.9,20260829
066110,6.1,20220415
066130,35.3,20260829
066310,7.9,20260829
066360,127.0,20260829
066410,7.9,20260829
066430,27.4,20260829
066570,192.6,20260829
066590,140.1,20260829
066620,37.1,20260829
066670,4.0,20260829
066700,52.7,20260829
066790,16.8,20260829
066900,142.8,20260829
066910,221.7,20260829
066970,267.8,20260829
066980,135.2,20260829
067000,137.4,20260829
067010,45.2,20260530
067080,150.0,20260829
067160,62.4,20260829
067170,101.2,20260829
067280,36.1,20260829
067290,52.0,20260829
067310,107.8,20260829
067370,114.2,20260829
067390,73.1,20260829
