Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
0426601D,한화오션 17R,KOSPI,신주인수권증서,보통주,2023-10-23,2023-10-30,,,,,0.0,71530415.0,,
0050101C,휴스틸 37R,KOSPI,신주인수권증서,보통주,2022-11-18,2022-11-25,,,,,0.0,14867851.0,,
155900,바다로19호,KOSPI,선박투자회사,보통주,2012-06-29,2023-11-24,신청에 의한 상장폐지,,,일반서비스,5000.0,15200004.0,,
015540,에코바이브,KOSPI,주권,보통주,1989-09-02,2023-11-07,감사의견 의견거절 2년 계속,2023-10-27,2023-11-06,일반서비스,500.0,62556871.0,,
0003021C,대유플러스 12WR,KOSPI,신주인수권증권,보통주,2022-04-07,2023-10-17,주권의 상장폐지 또는 관리종목지정기준에 해당(신주인수권증권),2023-10-05,2023-10-16,,0.0,23010603.0,000300,DH오토넥스
0003021D,대유플러스 14WR,KOSPI,신주인수권증권,보통주,2023-07-20,2023-10-17,주권의 상장폐지 또는 관리종목지정기준에 해당(신주인수권증권),2023-10-05,2023-10-16,,0.0,27803411.0,000300,DH오토넥스
72501773,나인트리부동산(종A1),KOSPI,수익증권,보통주,2017-06-26,2023-10-13,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,36359419.0,047190,신한자산운용
72502773,나인트리부동산(종C-i),KOSPI,수익증권,보통주,2017-06-26,2023-10-13,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,10140581.0,047190,신한자산운용
0048721A,티웨이홀딩스 24WR,KOSPI,신주인수권증권,보통주,2020-11-09,2023-09-25,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,32355641.0,004870,티웨이홀딩스
00121218,금호전기 31WR,KOSPI,신주인수권증권,보통주,2018-10-31,2023-09-18,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,2881394.0,001210,금호전기
010050,우리종금,KOSPI,주권,보통주,1974-09-11,2023-08-28,지주회사(최대주주등)의 완전자회사화 등,,,기타금융,500.0,874203406.0,,
