Symbol,Name,DelistingDate,Reason
164060,이루다,2024-10-22,피흡수합병
053590,한국테크놀로지,2024-10-07,해산사유 발생(파산선고)
119860,커넥트웨이브,2024-09-24,타법인의 완전자회사로 편입
089530,에이티세미콘,2024-09-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
065560,녹원씨엔아이,2024-07-29,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
136510,스마트솔루션즈,2024-07-25,감사의견 거절
181340,이즈미디어,2024-07-10,감사범위 제한
058530,파나케이아,2024-06-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
006580,대양제지,2024-06-21,상장폐지 신청('24.05.17)
161570,THE MIDONG,2024-06-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
148140,비디아이,2024-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
058220,아리온,2024-05-03,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
115960,연우,2024-03-06,타법인의 완전자회사로 편입
114120,크루셜텍,2024-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
091990,셀트리온헬스케어,2024-01-12,피흡수합병
141020,디에스앤엘,2024-01-03,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
269620,시스웍,2026-08-25,감사의견 거절(계속기업 존속능력 불확실성)
299900,위지윅스튜디오,2026-08-18,피흡수합병
043090,더테크놀로지,2026-08-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
060240,스타코링크,2026-07-24,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
203690,아크솔루션스,2026-07-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
222160,NPX,2026-07-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
106520,노블엠앤비,2026-07-01,감사의견 거절(계속기업 존속능력 불확실성)
032980,바이온,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
101390,아이엠,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
227100,프로브잇,2026-07-01,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
230360,에코마케팅,2026-06-30,타법인의 완전자회사로 편입
230980,비유테크놀러지,2026-06-05,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
139050,BF랩스,2026-05-08,감사의견 거절(감사범위 제한)
217620,선샤인푸드,2026-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
204630,스튜디오산타클로스,2026-03-18,감사의견 한정(감사범위 제한)
036180,지더블유바이텍,2026-03-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
222810,세토피아,2026-03-16,감사의견 거절(계속기업 존속능력 불확실성)
052670,제일바이오,2026-02-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
208340,파멥신,2026-01-27,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
150840,인트로메딕,2026-01-26,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
057880,푸른소나무,2026-01-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성)
226360,KH 건설,2026-01-14,감사의견 거절(감사범위 제한)
111870,KH 미래물산,2026-01-14,감사의견 거절(감사범위 제한)
174880,장원테크,2026-01-14,감사의견 한정(감사범위 제한)
