ticker,market,industry
950190,KOSDAQ,소프트웨어 개발 및 공급업
098460,KOSDAQ,특수 목적용 기계 제조업
035290,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업"
215000,KOSDAQ,소프트웨어 개발 및 공급업
121440,KOSDAQ,상품 중개업
009290,KOSPI,의약품 제조업
086220,KONEX,기타 식품 제조업
017040,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
029480,KOSDAQ,통신 및 방송 장비 제조업
017900,KOSPI,반도체 제조업
037710,KOSPI,종합 소매업
026910,KOSDAQ,1차 철강 제조업
465320,KOSDAQ,금융 지원 서비스업
482520,KOSDAQ,금융 지원 서비스업
489210,KOSDAQ,금융 지원 서비스업
0041B0,KOSDAQ,금융 지원 서비스업
0098T0,KOSDAQ,금융 지원 서비스업
0132G0,KOSDAQ,기타 금융업
030610,KOSPI,금융 지원 서비스업
339770,KOSPI,음·식료품 및 담배 도매업
053270,KOSDAQ,자동차 신품 부품 제조업
007690,KOSPI,기초 화학물질 제조업
066620,KOSDAQ,실내건축 및 건축마무리 공사업
043650,KOSDAQ,알코올음료 제조업
006050,KOSDAQ,유리 및 유리제품 제조업
060480,KOSDAQ,1차 비철금속 제조업
078130,KOSDAQ,기타 종이 및 판지 제품 제조업
307750,KOSDAQ,의약품 제조업
002720,KOSPI,의약품 제조업
035080,KOSDAQ,무점포 소매업
318060,KOSDAQ,합성고무 및 플라스틱 물질 제조업
453450,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
204020,KOSDAQ,봉제의복 제조업
0015G0,KOSDAQ,사진장비 및 광학기기 제조업
402490,KOSDAQ,반도체 제조업
114450,KOSDAQ,기초 의약물질 제조업
083420,KOSPI,기타 화학제품 제조업
186230,KOSDAQ,1차 비철금속 제조업
014530,KOSPI,석유 정제품 제조업
900070,KOSDAQ,기타 금융업
204620,KOSDAQ,금융 지원 서비스업
019660,KOSDAQ,상품 종합 도매업
014280,KOSPI,1차 철강 제조업
053260,KOSDAQ,1차 철강 제조업
008870,KOSPI,유리 및 유리제품 제조업
001570,KOSPI,기초 화학물질 제조업
282720,KOSDAQ,전기 및 통신 공사업
002990,KOSPI,건물 건설업
011780,KOSPI,기초 화학물질 제조업
214330,KOSPI,자동차 신품 부품 제조업
001210,KOSPI,전구 및 조명장치 제조업
073240,KOSPI,고무제품 제조업
036190,KOSDAQ,전기 및 통신 공사업
049080,KOSDAQ,전자부품 제조업
420770,KOSDAQ,특수 목적용 기계 제조업
282620,KOSDAQ,봉제의복 제조업
035460,KOSDAQ,통신 및 방송 장비 제조업
092440,KOSPI,특수 목적용 기계 제조업
000270,KOSPI,자동차용 엔진 및 자동차 제조업
024110,KOSPI,은행 및 저축기관
013700,KOSPI,건물 건설업
004540,KOSPI,"펄프, 종이 및 판지 제조업"
407400,KOSDAQ,가구 제조업
187790,KOSDAQ,기초 화학물질 제조업
238540,KONEX,기타 화학제품 제조업
121600,KOSDAQ,기타 화학제품 제조업
286750,KOSDAQ,기초 화학물질 제조업
247660,KOSDAQ,전자부품 제조업
039860,KOSDAQ,의료용 기기 제조업
417010,KOSDAQ,일반 목적용 기계 제조업
244880,KONEX,의료용 기기 제조업
405920,KOSDAQ,음·식료품 및 담배 도매업
478340,KOSDAQ,"항공기,우주선 및 부품 제조업"
051490,KOSDAQ,특수 목적용 기계 제조업
137080,KOSDAQ,특수 목적용 기계 제조업
190510,KOSDAQ,전자부품 제조업
242040,KOSDAQ,소프트웨어 개발 및 공급업
293580,KOSDAQ,기타 금융업
459510,KOSDAQ,특수 목적용 기계 제조업
138610,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
130580,KOSDAQ,기타 사업지원 서비스업
036800,KOSDAQ,전기 통신업
366030,KOSDAQ,의복 액세서리 제조업
267320,KOSDAQ,특수 목적용 기계 제조업
001260,KOSPI,토목 건설업
008350,KOSPI,1차 비철금속 제조업
004270,KOSPI,기타 전문 도매업
003920,KOSPI,동·식물성 유지 및 낙농제품 제조업
025860,KOSPI,"비료, 농약 및 살균, 살충제 제조업"
111710,KOSDAQ,스포츠 서비스업
091590,KOSDAQ,건물 건설업
168330,KOSDAQ,자연과학 및 공학 연구개발업
094860,KOSDAQ,소프트웨어 개발 및 공급업
0218L0,KOSDAQ,영상 및 음향기기 제조업
253590,KOSDAQ,특수 목적용 기계 제조업
212560,KOSDAQ,자동차 신품 부품 제조업
095660,KOSDAQ,소프트웨어 개발 및 공급업
042420,KOSDAQ,소프트웨어 개발 및 공급업
950220,KOSDAQ,자연과학 및 공학 연구개발업
311390,KOSDAQ,기타 식품 제조업
085910,KOSDAQ,자동차 신품 부품 제조업
092730,KOSDAQ,기타 화학제품 제조업
153460,KOSDAQ,소프트웨어 개발 및 공급업
007390,KOSDAQ,기초 의약물질 제조업
033640,KOSDAQ,반도체 제조업
